,account_value,date,daily_return
0,100000000.0,2015-12-31,
1,99279588.7630915,2016-01-04,-0.0072041123690849
2,99363938.79839772,2016-01-05,0.0008496211190751
3,98165221.65235785,2016-01-06,-0.0120639052812914
4,96379063.41248567,2016-01-07,-0.0181954281751396
5,95374090.45024513,2016-01-08,-0.0104272953757547
6,95739071.85025936,2016-01-11,0.0038268401647787
7,96537386.45243452,2016-01-12,0.00833844100164
8,94420771.24888933,2016-01-13,-0.0219253418942315
9,95768078.19705176,2016-01-14,0.0142691796555121
10,93889844.46434258,2016-01-15,-0.0196123151687823
11,93929292.78713568,2016-01-19,0.0004201553748242
12,92668713.96165508,2016-01-20,-0.0134205080020919
13,93400858.59102432,2016-01-21,0.0079006667738172
14,94316568.0758647,2016-01-22,0.009804079948023
15,94175093.23508804,2016-01-25,-0.0014999998797968
16,94682054.13269572,2016-01-26,0.0053831738328324
17,94363086.53438444,2016-01-27,-0.0033688284568084
18,94602977.86017942,2016-01-28,0.0025422157604773
19,96697901.66931848,2016-01-29,0.0221443749078944
20,96812101.02960442,2016-02-01,0.0011809910899251
21,95431694.41761903,2016-02-02,-0.0142586164054352
22,96406416.7969837,2016-02-03,0.0102138224131196
23,96167452.25698689,2016-02-04,-0.002478720275436
24,93854642.97224195,2016-02-05,-0.0240498134292301
25,92599244.29230782,2016-02-08,-0.0133759890845828
26,92974077.43118943,2016-02-09,0.0040479071049261
27,93229086.08298528,2016-02-10,0.0027427930326553
28,91848176.86325416,2016-02-11,-0.0148119999642806
29,91710404.6085704,2016-02-12,-0.0014999998844712
30,91942993.04072474,2016-02-16,0.0025361182643022
31,92803408.16384564,2016-02-17,0.0093581369788535
32,92717858.48295306,2016-02-18,-0.0009218377060197
33,92741020.05986378,2016-02-19,0.0002498070737362
34,93832582.90748216,2016-02-22,0.0117700112303464
35,92635661.28656276,2016-02-23,-0.0127559274596494
36,92842298.66640957,2016-02-24,0.0022306461353749
37,93662649.25850569,2016-02-25,0.0088359573586573
38,93195709.43651724,2016-02-26,-0.0049853364781483
39,92521832.30061814,2016-02-29,-0.0072307742488738
40,94530401.1634744,2016-03-01,0.0217091340812416
41,94886843.78529105,2016-03-02,0.0037706665520251
42,94934481.8966535,2016-03-03,0.0005020518067841
43,95147641.0723143,2016-03-04,0.0022453293197812
44,95746160.27191794,2016-03-07,0.0062904260458622
45,94931421.86708634,2016-03-08,-0.0085093585217177
46,95573642.98822956,2016-03-09,0.0067651058892006
47,95602348.2247394,2016-03-10,0.0003003467861255
48,96733417.0348414,2016-03-11,0.0118309730995636
49,96637847.47239022,2016-03-14,-0.0009879684330467
50,96539504.01578438,2016-03-15,-0.0010176494942515
51,96745535.44549765,2016-03-16,0.0021341670626313
52,97820066.64916244,2016-03-17,0.0111067781961902
53,98456618.02437817,2016-03-18,0.0065073700828557
54,98685997.68846548,2016-03-21,0.0023297536386079
55,98387818.28232332,2016-03-22,-0.0030214965965431
56,97536889.90364146,2016-03-23,-0.0086487168181749
57,97690313.1567296,2016-03-24,0.001572976678257
58,97724993.6648308,2016-03-28,0.0003550045749731
59,98252976.28201547,2016-03-29,0.0054027388223274
60,98737425.91185424,2016-03-30,0.0049306356730429
61,98578935.94258147,2016-03-31,-0.0016051661040288
62,99047634.10316208,2016-04-01,0.0047545467609184
63,98497800.45994116,2016-04-04,
64,97649332.38309322,2016-04-05,-0.0086140814605601
65,98302669.47218324,2016-04-06,0.00669064573352
66,97488447.10724324,2016-04-07,-0.0082828103174795
67,97598740.52676414,2016-04-08,0.0011313486140522
68,97331323.295083,2016-04-11,-0.0027399660101946
69,98211868.87061082,2016-04-12,0.0090468879464242
70,99286341.02504896,2016-04-13,0.0109403493365318
71,99303066.37003542,2016-04-14,0.0001684556487204
72,99214482.10721292,2016-04-15,-0.0008920596922195
73,100261699.37061906,2016-04-18,0.0105550847130815
74,101104790.0636045,2016-04-19,0.0084089008891514
75,102030066.73108496,2016-04-20,0.0091516600439838
76,101796140.82619312,2016-04-21,-0.0022927153964173
77,102272616.75765778,2016-04-22,0.0046806875741802
78,102401495.03400391,2016-04-25,0.0012601445081974
79,102479528.1810738,2016-04-26,0.0007620313262415
80,102415732.50477184,2016-04-27,-0.000622521175051
81,101660931.41850744,2016-04-28,-0.0073699720521869
82,100942477.59540638,2016-04-29,-0.0070671575901993
83,101536411.37160568,2016-05-02,0.0058838834784686
84,101386197.23833542,2016-05-03,-0.0014794114863928
85,101053273.570998,2016-05-04,-0.0032837178669872
86,101440291.51658134,2016-05-05,0.003829840755346
87,101776850.1594284,2016-05-06,0.0033178004303353
88,102067299.45981202,2016-05-09,0.0028537855114265
89,102854924.40933944,2016-05-10,0.0077167217482572
90,100865119.38716573,2016-05-11,-0.0193457438581621
91,100570304.06314534,2016-05-12,-0.0029228669515449
92,99624391.7272969,2016-05-13,-0.0094054835039031
93,100411437.48846498,2016-05-16,0.0079001311578641
94,99575437.86787066,2016-05-17,-0.0083257409863329
95,99371851.97120129,2016-05-18,-0.0020445393063651
96,99900744.16563436,2016-05-19,0.0053223542073701
97,100799693.52106091,2016-05-20,0.008998425016095
98,100336186.16973446,2016-05-23,-0.004598301196517
99,101449772.543781,2016-05-24,0.0110985519437896
100,102043511.34585734,2016-05-25,0.0058525395098358
101,101942704.70629324,2016-05-26,-0.0009878789766695
102,102437246.72534572,2016-05-27,0.0048511761628977
103,102167339.35510457,2016-05-31,-0.0026348557665244
104,102207488.64989674,2016-06-01,0.0003929758281424
105,103105117.75158724,2016-06-02,0.0087824200902268
