account_rewards,date
59623.81682500243,2023-07-12
184639.25028000772,2023-07-13
-218419.400680013,2023-07-14
5281.387024998665,2023-07-17
-12912.015579998493,2023-07-18
52985.91831000149,2023-07-19
473371.5288599953,2023-07-20
-145405.1280799955,2023-07-21
418715.09883500636,2023-07-24
38178.431034982204,2023-07-25
110128.94725000858,2023-07-26
595722.1688050032,2023-07-27
1406908.6443799883,2023-07-28
-141596.32437498868,2023-07-31
-98880.91500000656,2023-08-01
-768024.1041149944,2023-08-02
1254035.5375400037,2023-08-03
1110679.4325449914,2023-08-04
569807.9238049984,2023-08-07
-162895.2690999955,2023-08-08
360442.0835350007,2023-08-09
1888732.0708049983,2023-08-10
236651.83128501475,2023-08-11
-1076423.0,2023-08-14
1750257.7120949775,2023-08-15
-1292416.4399999976,2023-08-16
-3424615.0700000077,2023-08-17
-239387.33999998868,2023-08-18
-340882.3599999994,2023-08-21
36587.348725005984,2023-08-22
303151.6099999994,2023-08-23
-762412.6011000127,2023-08-24
1437023.183950007,2023-08-25
-190296.01999999583,2023-08-28
-425225.1099999994,2023-08-29
146779.69999998808,2023-08-30
590563.2100000083,2023-08-31
936854.6700000018,2023-09-05
-235504.62999999523,2023-09-06
-693060.1560200006,2023-09-07
-786399.3389749974,2023-09-08
1343586.949999988,2023-09-11
41645.839999988675,2023-09-12
-1469503.469999984,2023-09-13
214079.8900000006,2023-09-14
-443217.37000000477,2023-09-15
112115.85713000596,2023-09-18
525844.9257450104,2023-09-19
-1117501.5076650083,2023-09-20
-684923.8581049889,2023-09-21
-2459710.470000021,2023-09-22
-691899.798634991,2023-09-25
359990.57000000775,2023-09-26
734509.6822899878,2023-09-27
230025.04377999902,2023-09-28
-481021.7826749906,2023-09-29
-2775425.513090007,2023-10-02
862447.3808050081,2023-10-03
-982551.2444249988,2023-10-04
280016.25999999046,2023-10-05
588973.4399999976,2023-10-06
241377.65000000596,2023-10-09
