account_rewards,date
-230354.0980900079,2024-10-15
706287.9038999975,2024-10-16
668839.2625750005,2024-10-17
221392.98187500238,2024-10-18
-286754.59965999424,2024-10-21
1351232.462654993,2024-10-22
-2371748.698599994,2024-10-23
-519075.1051450074,2024-10-24
123992.39269000292,2024-10-25
124267.71398501098,2024-10-28
22108.416914984584,2024-10-29
640523.7723750025,2024-10-30
-603170.927094996,2024-10-31
-167528.62994998693,2024-11-01
-8244.263960018754,2024-11-04
923365.8042850047,2024-11-05
-36680.80531999469,2024-11-06
-707472.2533500046,2024-11-07
-1073502.7125150114,2024-11-08
-389273.5029499978,2024-11-11
-29291.19999998808,2024-11-12
-452217.9693400115,2024-11-13
-371091.63712999225,2024-11-14
-35833.50295499712,2024-11-15
-567557.3651250005,2024-11-18
262388.9994100034,2024-11-19
427518.8297999948,2024-11-20
29266.32339500636,2024-11-21
575230.027245,2024-11-22
322314.78348499537,2024-11-25
-313623.707859993,2024-11-26
-65777.36409500241,2024-11-27
167071.3560049832,2024-11-28
-312223.98651999235,2024-11-29
-111081.01095999777,2024-12-02
-580225.648439996,2024-12-03
1750788.4194800034,2024-12-04
808284.3150500059,2024-12-05
-126954.46088001132,2024-12-06
-564327.2254150063,2024-12-09
225201.36389000714,2024-12-10
-229350.33899000287,2024-12-11
-160192.01669999957,2024-12-12
107818.24175000191,2024-12-13
-368727.2715699971,2024-12-16
154214.75069999695,2024-12-17
-500152.50691999495,2024-12-18
382454.365504995,2024-12-19
241406.99779500067,2024-12-20
91973.03502000868,2024-12-23
551895.7902199924,2024-12-24
92032.25827498734,2024-12-25
-28232.049769982696,2024-12-26
41918.83502998948,2024-12-27
-201027.34855999053,2024-12-30
18813.392974987626,2024-12-31
-825089.9032999873,2025-01-02
-72662.30202500522,2025-01-03
93572.63379499316,2025-01-06
-116456.87676498294,2025-01-07
-15594.64063499868,2025-01-08
-784767.6528600156,2025-01-09
