account_rewards,date
-70536.27886499465,2021-04-05
1369766.5400000066,2021-04-06
-930895.1442549825,2021-04-07
73231.20298999548,2021-04-08
322094.78941497207,2021-04-09
192449.51518000662,2021-04-12
3330605.0919700265,2021-04-13
-1065626.6522950083,2021-04-14
-514547.9952150136,2021-04-15
4532141.65072,2021-04-16
-808152.8640200049,2021-04-19
-5434011.462134987,2021-04-20
2035222.2510099858,2021-04-22
-3662322.727789998,2021-04-23
1658379.512530014,2021-04-26
1051788.9732849896,2021-04-27
-497512.1357649863,2021-04-28
-1263023.8891550004,2021-04-29
479049.57843999565,2021-05-04
-658102.445570007,2021-05-05
-808701.5287749767,2021-05-06
5142583.93082498,2021-05-07
-399784.29173497856,2021-05-10
2018892.1897849739,2021-05-11
-1119532.1165500134,2021-05-12
2649414.4788400233,2021-05-13
-2634569.5607900172,2021-05-14
644848.7258350104,2021-05-17
2159743.746419981,2021-05-18
2900490.126825005,2021-05-19
-144420.54790499806,2021-05-20
34653.323569983244,2021-05-21
105942.75536501408,2021-05-24
15617.097649991512,2021-05-25
-524518.2888599932,2021-05-26
199755.72920498252,2021-05-27
42509.14114999771,2021-05-28
274266.75696501136,2021-05-31
-136154.04175001383,2021-06-01
637551.9815499783,2021-06-02
856234.2497050166,2021-06-03
160786.69939997792,2021-06-04
-1685868.1020599753,2021-06-07
-190550.71386000514,2021-06-08
160231.53687500954,2021-06-09
1285539.2347299904,2021-06-10
1547616.4231699854,2021-06-11
318988.5578099936,2021-06-14
-1160516.9984649867,2021-06-15
178781.2050949931,2021-06-16
919015.0165800154,2021-06-17
-254454.56282000244,2021-06-18
487148.25393000245,2021-06-21
-828246.6447500288,2021-06-22
-335952.52081498504,2021-06-23
822546.3271100074,2021-06-24
756464.2121949941,2021-06-25
612284.9588399976,2021-06-28
299927.5258399993,2021-06-29
1170611.6714250147,2021-06-30
57408.94200998545,2021-07-01
-2110226.355665013,2021-07-02
