account_rewards,date
210415.51999999583,2023-10-11
-262247.9390100017,2023-10-12
-702105.8180300072,2023-10-13
-949037.0454849899,2023-10-16
-1334328.3949850053,2023-10-17
-974484.5208699927,2023-10-18
1007494.8919999972,2023-10-19
-920015.260375008,2023-10-20
188497.8550800085,2023-10-23
229465.05524499714,2023-10-24
-3547264.648275003,2023-10-25
598523.791489996,2023-10-26
-813156.9219300002,2023-10-27
-879692.3634800017,2023-10-30
908916.298465006,2023-10-31
2017687.7549099997,2023-11-01
-219643.8485449925,2023-11-02
1009750.9416949973,2023-11-03
-218528.57529500872,2023-11-06
1824652.6638350114,2023-11-07
924120.9358199835,2023-11-08
-627847.5929099992,2023-11-09
248984.67719501257,2023-11-10
180895.0320499912,2023-11-13
580679.8215500042,2023-11-14
-25748.443040005863,2023-11-15
-1969197.4816699922,2023-11-16
148841.78996499628,2023-11-17
303196.71965999156,2023-11-20
-216770.40363498777,2023-11-21
-1491870.6616700068,2023-11-22
229750.74379999936,2023-11-23
-132051.2215449959,2023-11-24
663106.9939599931,2023-11-27
313876.15321000665,2023-11-28
-1013133.5224150047,2023-11-29
632641.345344998,2023-11-30
965659.0668000057,2023-12-01
-407002.0523850024,2023-12-04
353276.2522499934,2023-12-05
14190.936540007591,2023-12-06
105116.18709500134,2023-12-07
459011.24984999746,2023-12-08
312624.23686499894,2023-12-11
-879160.3426349983,2023-12-12
4850.570035003126,2023-12-13
-420358.3413250074,2023-12-14
-826446.6066799909,2023-12-15
179622.75786998868,2023-12-18
291144.844630003,2023-12-19
-127221.20113999397,2023-12-20
-113503.04032000154,2023-12-21
691141.9696049914,2023-12-22
173476.77715500444,2023-12-25
3912.611365005374,2023-12-26
477443.23889999837,2023-12-27
-360790.0686400011,2023-12-28
50368.809050001204,2023-12-29
535071.786150001,2024-01-02
535389.9789149985,2024-01-03
294836.9562000036,2024-01-04
-2688.2448900043964,2024-01-05
