account_value,date,daily_return
69549424.85097006,2024-07-16,
68935193.04426004,2024-07-17,-0.008831587148652731
67649644.03669004,2024-07-18,-0.018648660441766052
66912556.418605044,2024-07-19,-0.010895661441843396
66193230.66945004,2024-07-22,-0.010750235645682116
66085162.55636506,2024-07-23,-0.0016326157824905208
66237144.865515046,2024-07-24,0.0022997947386504958
65922642.45571505,2024-07-25,-0.004748127511210565
66749592.57071505,2024-07-26,0.01254425011187199
67111347.34100506,2024-07-29,0.00541958020053479
67183057.38792004,2024-07-30,0.0010685234279474987
67252598.96187004,2024-07-31,0.0010351058236077737
65791677.112170056,2024-08-01,-0.02172290546761302
66029781.666730046,2024-08-02,0.00361906801910572
63880031.83930504,2024-08-05,-0.0325572760224373
64920201.25050505,2024-08-06,0.016283169892848948
65656622.38808504,2024-08-07,0.011343482050192533
64990296.21888505,2024-08-08,-0.010148651346416293
65341584.49338505,2024-08-09,0.005405241935147798
65186511.58213505,2024-08-12,-0.0023732652406935895
65019487.97492505,2024-08-13,-0.002562241837401502
65083718.98492505,2024-08-14,0.0009878732054113826
64774228.314925045,2024-08-15,-0.0047552702093082155
65727142.954925045,2024-08-16,0.014711323697552015
65967903.37492504,2024-08-19,0.0036630288367334174
66436118.414925046,2024-08-20,0.007097618933542993
66976707.47492505,2024-08-21,0.00813697538173086
66518886.40492504,2024-08-22,-0.006835526666810421
66724575.65474004,2024-08-23,0.003092193224085271
67066631.88280005,2024-08-26,0.005126390459640362
69140829.91290006,2024-08-27,0.03092742205579513
68617243.94728005,2024-08-28,-0.007572746324850277
68991059.83044004,2024-08-29,0.005447841703569489
69002497.66214006,2024-08-30,0.00016578715746828898
68384665.62668005,2024-09-04,-0.008953763362090528
68802577.63668004,2024-09-05,0.006111194756459382
68792135.82668003,2024-09-06,-0.0001517648082189904
67797614.26998004,2024-09-09,-0.014456907679180953
66825973.579980046,2024-09-10,-0.014331487921253161
67160457.05998003,2024-09-11,0.005005291536825274
67056007.80998004,2024-09-12,-0.00155521946354098
67064481.178470045,2024-09-13,0.00012636255522413542
66126709.77847005,2024-09-16,-0.013983130615808803
67230996.55847004,2024-09-17,0.016699557315031255
67223681.84847005,2024-09-18,-0.00010879966644006256
67639247.03509505,2024-09-19,0.006181827225139713
67501198.93509504,2024-09-20,-0.0020409467291730987
67541667.33509506,2024-09-23,0.0005995212031557617
68439652.45509504,2024-09-24,0.013295276167003545
69166306.29509506,2024-09-25,0.010617439071257673
69136087.27709004,2024-09-26,-0.000436903741484862
69540022.47709005,2024-09-27,0.005842610073970134
69058803.97709005,2024-09-30,-0.006920022209635279
69545529.97709005,2024-10-01,0.007047993477580006
69201251.87709004,2024-10-02,-0.004950398682897705
68636216.17709005,2024-10-03,-0.008165108067749394
67899383.82709004,2024-10-04,-0.010735328825512314
68254588.07709004,2024-10-07,0.005231332450741366
68434304.37709004,2024-10-08,0.002633028856565911
69559592.27709004,2024-10-09,0.01644333072780846
68962829.87709004,2024-10-10,-0.008579153219052893
69457698.59819004,2024-10-11,0.007175876076750187
69779700.26919004,2024-10-14,0.004635939247897847
