account_rewards,date
-42809.2904599905,2025-01-13
11447.260450005531,2025-01-14
366744.6049899906,2025-01-15
382739.92745000124,2025-01-16
-52597.39541000128,2025-01-17
-97654.79924999177,2025-01-20
-493706.1313100159,2025-01-21
472071.0922999978,2025-01-22
16516.65397001803,2025-01-23
-884881.3500000089,2025-01-24
344849.1592350006,2025-02-03
34055.04999999702,2025-02-04
316366.09999999404,2025-02-05
412203.2989900112,2025-02-06
-579542.8700000048,2025-02-07
43175.25,2025-02-10
394455.5900000036,2025-02-11
164073.00999999046,2025-02-12
100283.08510001004,2025-02-13
-421916.93714000285,2025-02-14
1209715.600000009,2025-02-17
-82023.13000001013,2025-02-18
444372.7500000149,2025-02-19
321152.2484199852,2025-02-20
167699.8300000131,2025-02-21
-629817.1000000089,2025-02-24
487226.25,2025-02-25
318761.393385008,2025-02-26
-445157.85584001243,2025-02-27
674975.3155000061,2025-02-28
-219035.71810001135,2025-03-03
114867.90000000596,2025-03-04
616471.1940449923,2025-03-05
1747373.09548001,2025-03-06
1253608.649305001,2025-03-07
-510513.021025002,2025-03-10
973881.299999997,2025-03-11
1706758.851850003,2025-03-12
184678.9254000038,2025-03-13
-27354.79999999702,2025-03-14
-539150.8000000119,2025-03-17
54616.55000001192,2025-03-18
-286981.77842500806,2025-03-19
667520.9408500046,2025-03-20
2324039.082224995,2025-03-21
-27552.43030001223,2025-03-24
-271905.29669998586,2025-03-25
456665.35140001774,2025-03-26
295367.59974998236,2025-03-27
-427879.32424999774,2025-03-28
924020.8158499897,2025-03-31
320512.96140000224,2025-04-01
-5512120.637799993,2025-04-02
-110905.2636000067,2025-04-03
0.0,2025-04-04
0.0,2025-04-08
0.0,2025-04-09
398950.7299499959,2025-04-10
497149.6689950079,2025-04-11
-19467.351300001144,2025-04-14
-488352.36630000174,2025-04-15
93259.05420000851,2025-04-16
