account_rewards,date
3497386.2289649993,2021-07-06
244096.37392500043,2021-07-07
-1596846.9487400055,2021-07-08
-719980.9717550129,2021-07-09
-1570215.6005900055,2021-07-12
193359.82644501328,2021-07-13
-383226.5763299912,2021-07-14
1858355.4998299927,2021-07-15
-2795686.418359995,2021-07-16
2723250.309794992,2021-07-19
-1144581.141629979,2021-07-20
1461943.2938699871,2021-07-21
-2545857.7658299953,2021-07-22
515073.54700501263,2021-07-23
1199213.048884973,2021-07-26
374383.24000002444,2021-07-27
1513400.67864497,2021-07-28
2188280.400000006,2021-07-29
1187097.8779450208,2021-07-30
1580399.969999984,2021-08-02
-359315.99000002444,2021-08-03
51745.72000002861,2021-08-04
-1015409.1068650037,2021-08-05
2160786.2100000083,2021-08-06
189428.73999997973,2021-08-09
-486165.2111299783,2021-08-10
-1224057.2606200129,2021-08-11
-538828.0029999912,2021-08-12
659209.8199999928,2021-08-13
-496671.950000003,2021-08-16
356627.0,2021-08-17
1729260.5400549918,2021-08-18
-3635049.149999991,2021-08-19
-3308387.012434989,2021-08-20
192036.20000000298,2021-08-23
1794604.2799999863,2021-08-24
-1040608.8457299918,2021-08-25
1302000.5803899914,2021-08-26
-167202.20036000013,2021-08-27
921903.2108249962,2021-08-30
-509410.7815499902,2021-08-31
716027.8054049909,2021-09-01
-937404.2887849957,2021-09-06
-1044856.1400500089,2021-09-07
306968.43800002337,2021-09-08
-162031.47999998927,2021-09-09
-318233.6248500198,2021-09-10
874022.5299999863,2021-09-13
1300641.7699999958,2021-09-14
721924.7500000149,2021-09-15
-1165710.6899999976,2021-09-16
-262252.04000002146,2021-09-17
-1037697.419999972,2021-09-20
1203149.6488000005,2021-09-21
461094.8439049721,2021-09-22
-288829.70999999344,2021-09-23
-2101758.5739499927,2021-09-24
1990262.1200000048,2021-09-27
785848.5151500106,2021-09-28
-20164.920000001788,2021-09-29
521301.5799999982,2021-09-30
-167043.83761499822,2021-10-01
