account_rewards,date
-39003.49505499005,2024-01-09
149293.83630999178,2024-01-10
-440899.66974499077,2024-01-11
56955.600610002875,2024-01-12
368342.1150150001,2024-01-15
-38016.219790004194,2024-01-16
138358.9021449983,2024-01-17
657597.2935250103,2024-01-18
59193.120144985616,2024-01-19
-357126.13859499246,2024-01-22
-243832.31424999237,2024-01-23
-5337.544175006449,2024-01-24
233119.4038899988,2024-01-25
-235495.24988000095,2024-01-26
-8440.955919988453,2024-01-29
-827540.3996299952,2024-01-30
779758.5108149946,2024-01-31
214504.34245499969,2024-02-01
214087.87320500612,2024-02-02
4836.723649993539,2024-02-05
280433.27779999375,2024-02-06
44745.95106500387,2024-02-07
166990.15109999478,2024-02-15
800532.6522850096,2024-02-16
298622.1441750005,2024-02-19
-360648.44096500427,2024-02-20
-593438.6011000052,2024-02-21
-687586.8851699978,2024-02-22
873833.4443000033,2024-02-23
962459.550760001,2024-02-26
1846675.68389,2024-02-27
658769.5539749935,2024-02-28
350404.3907250017,2024-02-29
-359358.3968399912,2024-03-01
333173.8102449924,2024-03-04
-324607.8070000112,2024-03-05
664527.9593550116,2024-03-06
-1039405.1436049938,2024-03-07
-630390.1274600029,2024-03-08
304929.79247999936,2024-03-11
2171223.688609995,2024-03-12
-398533.72287999094,2024-03-13
-518226.22209501266,2024-03-14
-1191100.2281100005,2024-03-15
-458343.14763998985,2024-03-18
1143801.9172099978,2024-03-19
859915.2740650028,2024-03-20
370182.2974449992,2024-03-21
-660754.3035400063,2024-03-22
542586.1814350039,2024-03-25
373433.65394999087,2024-03-26
736380.3221650124,2024-03-27
-892301.8465500176,2024-03-28
202837.21352002025,2024-03-29
-24929.33789500594,2024-04-01
-998640.3883650005,2024-04-02
94444.74361498654,2024-04-03
-963570.8999949992,2024-04-04
-191440.8295249939,2024-04-05
622374.3477950096,2024-04-08
-351877.9254900068,2024-04-09
20831.66959001124,2024-04-10
