account_rewards,date
745085.5942249894,2022-10-07
-2502493.466804996,2022-10-10
2124218.664869994,2022-10-11
1554434.0862600058,2022-10-12
808573.7567049861,2022-10-13
-792765.925759986,2022-10-14
1337487.1574549973,2022-10-17
288172.0974100083,2022-10-18
997848.9927349985,2022-10-19
-3483921.328129992,2022-10-20
-1950177.661560014,2022-10-21
1486211.2593900114,2022-10-24
-285643.10752499104,2022-10-25
1940624.3947099745,2022-10-26
-35308.023844987154,2022-10-27
479381.60732501745,2022-10-28
-39468.201735019684,2022-10-31
-734085.5030400008,2022-11-01
-186486.32394500077,2022-11-02
-419910.2703500092,2022-11-03
-988967.0929999948,2022-11-04
493205.68000000715,2022-11-07
876962.5699999928,2022-11-08
-1720626.7712199986,2022-11-09
1192480.0347750038,2022-11-10
64175.80000001192,2022-11-11
-239922.81316001713,2022-11-14
4127082.926700011,2022-11-15
3652556.5252249986,2022-11-16
232535.87999999523,2022-11-17
-1919479.6599999964,2022-11-18
-2342379.6810800135,2022-11-21
-860295.3878499866,2022-11-22
931619.4569899887,2022-11-23
3863799.609500006,2022-11-24
1451352.6278100014,2022-11-25
3836447.243935004,2022-11-28
-5495.550000011921,2022-11-29
-3867794.480489999,2022-11-30
3581737.425300002,2022-12-01
-264233.109860003,2022-12-02
-2289679.5276000053,2022-12-05
4354066.360165015,2022-12-06
-1207852.0502899885,2022-12-07
-1986632.3996500224,2022-12-08
-4881725.859999999,2022-12-09
-1207640.5100000054,2022-12-12
-704318.1200000048,2022-12-13
-189329.19999998808,2022-12-14
-2213843.628549978,2022-12-15
-2119086.696200013,2022-12-16
-482379.1700000018,2022-12-19
-1242757.4299999923,2022-12-20
-61310.409999996424,2022-12-21
136259.92966999114,2022-12-22
-2557200.8436499983,2022-12-23
698477.3807849884,2022-12-26
260306.3194950074,2022-12-27
18076.65000000596,2022-12-28
183558.12597998977,2022-12-29
3464545.019999996,2022-12-30
-641162.098119989,2023-01-03
