account_rewards,date
-633581.2145100087,2022-07-08
1128977.9029350132,2022-07-11
-910635.3451200128,2022-07-12
431568.2201049924,2022-07-13
-681684.0162099898,2022-07-14
-96453.15925000608,2022-07-15
792112.4697650075,2022-07-18
550870.5008699894,2022-07-19
210212.20000001788,2022-07-20
-999353.5991700143,2022-07-21
734426.3640999943,2022-07-22
-552975.9599999934,2022-07-25
371328.3399999887,2022-07-26
669252.6000000089,2022-07-27
16680.489999994636,2022-07-28
1233396.1693150103,2022-07-29
298416.81999999285,2022-08-01
281220.26000000536,2022-08-02
422369.93539500237,2022-08-03
-695997.7200000137,2022-08-04
-297054.5098949969,2022-08-05
-328769.6899999976,2022-08-08
258949.20000000298,2022-08-09
-984466.0300000012,2022-08-10
846169.3400000036,2022-08-11
-224321.56000001729,2022-08-12
225269.19360502064,2022-08-15
614076.2199999988,2022-08-16
621393.0197299868,2022-08-17
393324.4400000125,2022-08-18
-611093.0300000012,2022-08-19
1918818.4306900054,2022-08-22
2011236.8800000101,2022-08-23
253712.09999997914,2022-08-24
-896657.4399999976,2022-08-25
-1308167.499999985,2022-08-26
998982.8099999726,2022-08-29
-763722.065839991,2022-08-30
1562463.0900000036,2022-08-31
250035.84000000358,2022-09-05
-2427308.3200000077,2022-09-06
-430949.07000000775,2022-09-07
343713.0,2022-09-08
-598775.9199999869,2022-09-09
239368.0799999982,2022-09-12
-1532449.4300000072,2022-09-13
582660.5400000066,2022-09-14
1268484.2999999821,2022-09-15
-1115662.269999981,2022-09-16
743214.1700000018,2022-09-19
819485.8199999928,2022-09-20
-90422.67100998759,2022-09-21
-632507.7399999946,2022-09-22
-2779429.2677000165,2022-09-23
-1555856.3299999833,2022-09-26
-522428.18000000715,2022-09-27
516268.1099999994,2022-09-28
-328612.1599999964,2022-09-29
-1978298.850000009,2022-09-30
-162586.0300000012,2022-10-03
789171.8300000131,2022-10-04
-2014480.9600000083,2022-10-05
