account_value,date,daily_return
103506460.52845003,2021-07-06,
107003846.75741503,2021-07-07,0.033789062162005834
107247943.13134003,2021-07-08,0.0022811925115027165
105651096.18260002,2021-07-09,-0.01488930138999911
104931115.21084501,2021-07-12,-0.006814704227116053
103360899.610255,2021-07-13,-0.014964251522866845
103554259.43670002,2021-07-14,0.0018707250727705294
103171032.86037003,2021-07-15,-0.0037007321419187944
105029388.36020002,2021-07-16,0.01801237661684607
102233701.94184002,2021-07-19,-0.02661813480977482
104956952.25163502,2021-07-20,0.026637500726954366
103812371.11000504,2021-07-21,-0.010905243693489108
105274314.40387502,2021-07-22,0.014082553728792524
102728456.63804503,2021-07-23,-0.024183085686628636
103243530.18505004,2021-07-26,0.00501393249603499
104442743.23393501,2021-07-27,0.011615382065448099
104817126.47393504,2021-07-28,0.0035845787692636577
106330527.15258001,2021-07-29,0.014438486624810398
108518807.55258001,2021-07-30,0.020579982612706438
109705905.43052503,2021-08-02,0.010939098067124009
111286305.40052502,2021-08-03,0.014405787580877627
110926989.410525,2021-08-04,-0.0032287529782467628
110978735.13052502,2021-08-05,0.0004664844892574571
109963326.02366002,2021-08-06,-0.009149582626534314
112124112.23366003,2021-08-09,0.019650062326553197
112313540.97366,2021-08-10,0.0016894558737305942
111827375.76253003,2021-08-11,-0.004328642894840251
110603318.50191002,2021-08-12,-0.010945953549150178
110064490.49891002,2021-08-13,-0.00487171642133577
110723700.31891002,2021-08-16,0.005989305152023672
110227028.36891001,2021-08-17,-0.004485687784724246
110583655.36891001,2021-08-18,0.0032353861414682328
112312915.908965,2021-08-19,0.015637578033445676
108677866.75896502,2021-08-20,-0.032365370630626056
105369479.74653003,2021-08-23,-0.030442141634714037
105561515.94653003,2021-08-24,0.0018225030669407616
107356120.22653002,2021-08-25,0.017000554263629564
106315511.38080002,2021-08-26,-0.009693055631427638
107617511.96119002,2021-08-27,0.012246572146245915
107450309.76083001,2021-08-30,-0.001553670934339224
108372212.97165501,2021-08-31,0.008579809708106234
107862802.19010502,2021-09-01,-0.004700566386728888
108578829.99551001,2021-09-06,0.006638320077602122
107641425.70672502,2021-09-07,-0.00863339832289367
106596569.566675,2021-09-08,-0.009706821822453193
106903538.00467503,2021-09-09,0.002879721544960301
106741506.52467504,2021-09-10,-0.0015156793032696791
106423272.89982502,2021-09-13,-0.0029813484483325325
107297295.42982501,2021-09-14,0.008212701096147468
108597937.199825,2021-09-15,0.012121850460346861
109319861.94982502,2021-09-16,0.006647683819920536
108154151.25982502,2021-09-17,-0.010663301885022736
107891899.219825,2021-09-20,-0.002424798650307869
106854201.79982503,2021-09-21,-0.009617936355775014
108057351.44862503,2021-09-22,0.011259731751624757
108518446.29253,2021-09-23,0.0042671307201547215
108229616.58253,2021-09-24,-0.0026615724779306404
106127858.00858001,2021-09-27,-0.019419440263352516
108118120.12858002,2021-09-28,0.018753437196848965
108903968.64373003,2021-09-29,0.007268425627595443
108883803.72373003,2021-09-30,-0.00018516239813048951
109405105.30373003,2021-10-01,0.00478768707715882
109238061.46611503,2021-10-04,-0.001526837684139637
