account_value,date,daily_return
109519956.80719003,2021-12-31,
113206910.39065002,2022-01-04,0.03366467346175894
112438193.89924502,2022-01-05,-0.006790367202429093
112937436.50560504,2022-01-06,0.004440151420498584
112448499.67593002,2022-01-07,-0.004329271540095103
111237956.14861502,2022-01-10,-0.010765315062483904
110102747.27538005,2022-01-11,-0.010205229514630099
110741698.74975003,2022-01-12,0.0058032291671332725
109892160.07035503,2022-01-13,-0.007671353148688498
110201790.40212505,2022-01-14,0.00281758345246641
108030752.75879502,2022-01-17,-0.019700565983619023
107577411.91918004,2022-01-18,-0.004196405449725771
107415121.30602504,2022-01-19,-0.001508593767592381
107555100.86194004,2022-01-20,0.0013031643423480066
107571893.41337503,2022-01-21,0.0001561297539625084
105538298.75177503,2022-01-24,-0.018904516756857226
106917579.88357005,2022-01-25,0.013069010473999443
107751783.87842004,2022-01-26,0.007802308991266216
107877914.50486504,2022-01-27,0.0011705664807120097
108222010.08104002,2022-01-28,0.0031896758271079406
106748477.46105003,2022-02-07,-0.013615831187080762
104959850.72777003,2022-02-08,-0.016755524536006927
103841685.10407503,2022-02-09,-0.01065326994981286
103323577.87355003,2022-02-10,-0.004989395443705802
101826615.94426504,2022-02-11,-0.014488096135395256
101741182.43428004,2022-02-14,-0.0008390096164224703
103234383.82985003,2022-02-15,0.014676469840858575
102579196.12535003,2022-02-16,-0.006346603526785066
103456812.98067003,2022-02-17,0.008555505292199506
102815866.69124502,2022-02-18,-0.006195302860767304
103375241.22102505,2022-02-21,0.005440546753934683
102457386.58131504,2022-02-22,-0.00887886334163479
102884081.75677502,2022-02-23,0.004164611158818943
101351588.09906502,2022-02-24,-0.014895342715240623
100893553.22055005,2022-02-25,-0.004519266911410136
100180037.28586003,2022-02-28,-0.007071967553073377
101245474.98519003,2022-03-01,0.010635229614557096
100217374.60296504,2022-03-02,-0.010154531670431455
100724347.21627004,2022-03-03,0.005058729739364054
100759965.00937504,2022-03-04,0.00035361651963361496
99857401.50269505,2022-03-07,-0.00895756073948617
98727345.15905005,2022-03-08,-0.011316700881852104
98148707.35077004,2022-03-09,-0.0058609679754663135
99796863.03843503,2022-03-10,0.016792433972407927
100200084.21757005,2022-03-11,0.004040419376506232
99419562.93705504,2022-03-14,-0.007789626990933662
99474538.13080503,2022-03-15,0.0005529615311707925
99615971.93488504,2022-03-16,0.0014218091055022697
99316058.62848504,2022-03-17,-0.0030106949776692593
99705501.20964003,2022-03-18,0.003921244827201464
101256683.17837003,2022-03-21,0.015557636739305991
101974116.32363003,2022-03-22,0.007085291782629399
101233329.33375503,2022-03-23,-0.007264460988551269
100560098.07260002,2022-03-24,-0.00665029260210781
100152224.53057504,2022-03-25,-0.004056017743046758
98967469.36945504,2022-03-28,-0.011829544143158843
101044091.75746006,2022-03-29,0.020982878528021942
101517055.76553003,2022-03-30,0.004680768561958537
103121355.65952504,2022-03-31,0.015803254752584595
104702731.98795503,2022-04-01,0.01533510026430629
104690610.49708505,2022-04-04,-0.00011577053091005318
103748134.52359505,2022-04-05,-0.00900248808384052
104174051.92221503,2022-04-06,0.004105301753865476
