date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WMT,XOM
2016-02-10,7411,1,0,7860,-8461,13785,7181,-18483,-2010,0,0,-7713,9818,-3955,0,0,6452,0,0,-1555,-943,0,-8802,0,0,19702,0,7940,-9034
2016-02-11,-18524,-1,-120385,-7860,-39871,-29764,-304697,-54235,-8881,0,0,-93632,-9818,-154008,-174033,0,-6452,-1362,-2,-49048,-253166,0,-95567,-21391,0,-37942,-4823,-75084,-46526
2016-02-12,0,0,10772,0,6000,0,26314,9318,3693,0,3828,10852,329,13298,12958,0,0,0,0,6054,25534,0,11347,2114,0,0,0,7406,7071
2016-02-16,0,0,10772,0,6000,0,26314,9318,3693,0,3828,10852,329,13298,12958,0,0,0,0,6054,25534,0,11347,2114,0,0,0,7406,7071
2016-02-17,0,0,10772,0,6000,0,26314,9318,3693,0,3828,10852,329,13298,12958,0,0,0,0,6054,25534,0,11347,2114,0,0,0,7406,7071
2016-02-18,0,0,10772,0,6000,0,26314,9318,3693,0,3828,10852,329,13298,12958,0,0,0,0,6054,25534,0,11347,2114,0,0,0,7406,7071
2016-02-19,0,0,10772,0,6000,0,26314,9318,3693,0,3828,10852,329,13298,12958,0,0,0,0,6054,25534,0,11347,2114,0,0,0,7406,7071
2016-02-22,0,0,10772,0,6000,0,26314,9318,3693,0,3828,10852,329,13298,12958,0,0,0,0,6054,25534,0,11347,2114,0,0,0,7406,7071
2016-02-23,0,0,10772,0,6000,0,26314,9318,3693,0,3828,10852,329,13298,12958,0,0,0,0,6054,25534,0,11347,2114,0,0,0,7406,7071
2016-02-24,0,0,10439,0,4581,0,26659,11626,740,0,-1610,6593,-1451,10978,17505,0,0,0,0,5071,24115,0,9171,1449,0,0,0,7308,2785
2016-02-25,0,0,11739,0,4870,0,30432,5753,-1980,0,-9681,11554,-852,18223,20497,0,0,681,0,1877,17230,0,9467,2572,0,0,2411,3997,3773
2016-02-26,0,0,12465,0,0,0,27577,5724,-6714,0,-15505,12719,1,18825,26163,0,0,0,0,0,17268,0,11163,0,0,0,7447,1,-1768
2016-02-29,11115,0,7044,0,-7990,15980,0,-15638,-2147,0,0,-4318,0,-6064,0,0,0,0,1,-599,-401,0,-3160,0,0,18239,0,1,-4264
2016-03-01,7411,632,0,7860,-8461,13785,7181,-18483,-2010,0,0,-7713,9818,-3955,1,0,6760,0,0,-1555,-943,0,-8802,0,0,19702,0,7940,-9034
2016-03-02,0,0,8938,0,-3241,0,0,-19006,0,0,0,-1179,14554,0,0,0,0,0,0,-1754,-1595,0,0,0,0,19172,0,0,-11113
2016-03-03,0,13977,2584,0,-1666,0,0,-17102,-908,0,0,-4986,13278,-122,0,0,0,0,0,0,0,0,-2081,0,0,23416,0,1,-11635
2016-03-04,0,2936,0,-3771,0,0,0,-8167,0,0,0,0,1,-360,0,0,0,0,0,0,0,0,-3376,0,0,20232,0,0,-6214
2016-03-07,0,21530,0,0,0,-262,0,-9933,0,0,0,-4984,0,-4858,0,0,-3757,0,0,0,0,0,0,0,0,20457,0,0,-6470
