date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WMT,XOM
2017-07-03,0,0,50000,0,-10191,50000,-50000,0,0,0,13397,0,0,0,-26823,0,0,0,0,-4666,50000,1,0,0,-50000,0,-16030,-46446,-23205
2017-07-05,50000,0,-29900,0,-50000,-37445,47106,0,-24167,0,0,0,42560,0,-50000,50000,0,0,-50000,1,50000,0,0,0,20668,50000,1,0,0
2017-07-06,2,0,0,0,-3558,0,39930,-9536,0,0,0,0,0,0,0,-31746,0,0,0,0,50000,-6544,0,0,0,-19600,-19797,-50000,0
2017-07-07,-47453,0,0,0,-26001,0,-43058,-21924,0,0,-13397,0,2,0,0,-18254,0,0,-18432,-35817,-1717,-22256,0,0,50000,43085,-33877,-12729,50000
2017-07-10,-2549,0,50000,5802,3,-50000,-50000,-44122,0,0,0,0,-32180,0,-50000,0,0,0,0,-12918,0,0,0,0,50000,-8533,50000,50000,-50000
2017-07-11,50000,0,1143,-5802,0,1,50000,-15251,0,0,0,0,-8901,0,0,0,0,0,0,-44766,-50000,-34417,0,0,0,0,2,-3915,50000
2017-07-12,50000,50000,-16403,0,-19625,50000,8273,0,0,0,0,0,0,0,0,0,0,0,0,-31020,-19135,-33240,0,0,0,0,-8252,2,-39302
2017-07-13,0,0,-534,0,-50000,0,0,0,0,0,0,0,0,0,41025,0,50000,0,0,-50000,1,0,0,0,-29226,0,-20087,50000,-10698
2017-07-14,0,0,0,0,3,-22510,-13943,0,0,0,0,0,0,0,0,0,0,30498,0,-50000,0,-50000,0,0,0,50000,-50000,0,0
2017-07-17,-50000,0,0,0,-50000,-18568,-15010,8425,50000,50000,0,0,0,0,0,0,-10083,-30498,0,-42265,-50000,0,0,0,0,0,0,-5749,0
2017-07-18,35368,-50000,43127,0,40668,0,-35958,50000,0,-50000,0,0,-1481,0,0,0,-11813,0,0,0,-15973,45675,0,0,0,21318,-50000,50000,0
2017-07-19,0,0,0,0,-50000,0,1,0,0,0,0,0,0,0,0,1,0,49978,0,0,-50000,-12239,0,0,0,0,-50000,-50000,0
2017-07-20,0,0,0,0,-50000,-1162,0,-50000,0,0,0,0,0,0,-50000,0,50000,0,0,0,26723,50000,0,0,-22653,50000,50000,-50000,0
2017-07-21,-6693,0,-1554,0,50000,0,0,0,-50000,0,0,0,0,50000,0,8257,-50000,0,0,0,-50000,1,50000,50000,-1898,0,0,-6613,0
2017-07-24,-50000,0,-50000,0,50000,-21853,-1,-8425,0,27883,0,0,50000,50000,-20286,0,50000,-49978,0,0,-27711,50000,-50000,0,50000,-2854,-12720,-48643,0
2017-07-25,-28675,0,-45879,0,-101569,-123189,0,0,0,-27883,0,0,-50000,-100000,0,-8258,-78104,0,0,0,-17984,-154528,0,-50000,-190699,-183416,-83690,-93143,0
2017-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-27,29346,15340,0,0,2871,8834,17612,50000,0,0,50000,50000,0,49011,50000,18014,21340,5733,50000,0,0,0,3204,0,50000,2720,15331,50000,50000
2017-07-28,-29346,-9576,0,50000,8695,-8834,50000,35873,49597,0,-45667,50000,0,5844,-27330,50000,50000,50000,48109,48684,50000,50000,-3204,50000,-50000,-2720,50000,50000,50000
2017-07-31,0,-4587,0,2264,0,0,0,-18425,-49597,0,-4333,0,0,50000,-22670,50000,50000,50000,50000,50000,-50000,-24591,0,50000,36206,0,50000,-50000,0
2017-08-01,0,50000,24529,-7956,50000,50000,-50000,-21686,0,0,0,0,0,2,0,0,50000,-24501,0,0,0,-25409,0,-21732,-36206,0,-50000,-4894,0
2017-08-02,0,0,-16847,-621,0,0,-477,-4984,50000,0,0,28330,0,-15867,0,-22991,50000,-47673,0,50000,0,50000,50000,-50000,0,0,-30829,-36219,-50000
2017-08-03,0,0,-7682,-43687,-50000,-34806,0,0,30117,0,0,0,0,-22362,0,3,50000,0,0,50000,0,50000,-13536,0,0,0,-34502,0,0
