account_rewards,date
-174907.12553597987,2016-09-30
-485179.3094018549,2016-10-03
541093.6985439062,2016-10-04
-550.5415621697903,2016-10-05
-309637.0294299871,2016-10-06
538994.836753577,2016-10-07
-1345472.6949515045,2016-10-10
212260.85371518135,2016-10-11
-29744.264490902424,2016-10-12
-421689.0852576792,2016-10-13
-890173.5937668681,2016-10-14
-491419.23696415126,2016-10-17
411510.6832624525,2016-10-18
-287195.3676250726,2016-10-19
-156458.81408932805,2016-10-20
20375.8797339648,2016-10-21
-17348.208383351564,2016-10-24
699820.2092429996,2016-10-25
-457692.54945777357,2016-10-26
-27723.532753825188,2016-10-27
-503474.1485860646,2016-10-28
-544675.663948223,2016-10-31
-457311.7208535522,2016-11-01
-269474.64521579444,2016-11-02
-215678.06399528682,2016-11-03
1911882.7121195197,2016-11-04
600151.9065659642,2016-11-07
1676783.899074927,2016-11-08
-159847.58932104707,2016-11-09
0.0,2016-11-10
131308.7590276897,2016-11-11
144442.05710178614,2016-11-14
39843.95478332043,2016-11-15
-127339.08182267845,2016-11-16
-124907.65446804464,2016-11-17
230942.60576204956,2016-11-18
433598.0384862572,2016-11-21
192700.73681746423,2016-11-22
446996.05202561617,2016-11-23
-27911.293492987752,2016-11-25
72476.00785057247,2016-11-28
-643366.9917182922,2016-11-29
86893.36428108811,2016-11-30
-121308.78795582056,2016-12-01
703974.6223748326,2016-12-02
-177961.21429404616,2016-12-05
1025904.6792940199,2016-12-06
245123.56025063992,2016-12-07
950049.1787774563,2016-12-08
720664.6814227849,2016-12-09
1179717.0969700217,2016-12-12
-702180.5923083425,2016-12-13
-23705.038133725524,2016-12-14
257722.6369614452,2016-12-15
-612792.63523902,2016-12-16
175909.39935684204,2016-12-19
-323598.1741040498,2016-12-20
403778.4582672119,2016-12-21
-340217.5406744331,2016-12-22
-164302.74213971198,2016-12-23
-576966.9487001449,2016-12-27
-47542.21289482713,2016-12-28
