date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WMT,XOM
2019-01-03,-50000,0,0,0,0,0,250,50000,-4934,50000,0,0,-43101,-10069,50000,0,0,-2065,-1,0,0,50000,0,-50000,-50000,0,0,0,50000
2019-01-04,-8346,0,0,0,50000,44656,39343,-50000,-38095,-3452,0,40578,3152,-50000,8340,-34953,-10975,7301,23479,0,0,-17527,0,-14898,-50000,50000,30164,50000,4837
2019-01-07,0,0,0,0,-17216,0,0,17267,-5065,50000,0,50000,-3152,0,-50000,0,-3610,-50000,-23479,50000,50000,50000,0,-13326,-4249,0,-8124,0,-50000
2019-01-08,50000,44482,0,0,-34578,-4572,0,-17267,1,50000,27967,-8507,50000,-9279,49940,-50000,0,4252,0,-50000,-10062,50000,0,30019,-50000,-35520,-22040,36259,-14899
2019-01-09,0,-32509,0,50000,50000,0,0,0,-1,-50000,44111,-30996,-36852,0,0,0,0,0,0,0,0,1,50000,0,0,0,0,-50000,-36522
2019-01-10,-50000,-11973,0,0,-16429,0,50000,0,50000,-50000,-50000,-50000,0,0,50000,0,0,-16331,0,50000,50000,40248,0,0,0,50000,0,-32720,-899
2019-01-11,0,0,0,-50000,50000,-26611,-50000,0,-50000,37645,11797,-22145,-10640,0,-45989,50000,0,-30785,0,-17596,44208,50000,-26992,-50000,-50000,7066,0,36411,18356
2019-01-14,0,0,0,0,-11794,0,0,0,50000,50000,0,48311,-2508,0,-44667,-28251,0,50000,0,0,-7662,50000,-5009,0,50000,0,1,-27488,-18356
2019-01-15,0,0,0,0,-38894,0,-21524,0,-50000,-50000,0,-50000,0,0,-3337,0,0,0,39045,0,50000,-50000,0,0,50000,-11198,0,0,50000
2019-01-16,0,0,0,120,-41189,-13473,-18069,0,0,-39863,50000,0,0,0,50000,0,0,-50000,-39045,-32404,-42003,-50000,50000,-43282,50000,50000,-1,-42226,-30420
2019-01-17,0,0,0,-120,-23930,0,0,23840,50000,0,0,-4736,0,0,0,50000,0,50000,50000,0,-22291,2,-36848,0,-21084,-44534,0,50000,-15178
2019-01-18,0,0,0,0,0,0,0,-23840,1,0,-7379,-22505,0,0,-23320,-8170,32873,-4838,-46292,0,0,-11831,0,0,0,50000,0,0,0
2019-01-22,0,0,0,0,0,0,0,22821,0,-2471,0,0,0,0,-8161,0,0,0,0,0,0,0,0,50000,-26724,0,0,0,-4402
2019-01-23,0,0,35417,0,-18377,0,0,-22821,0,-41859,0,0,0,0,-29599,-13792,-32873,2,50000,0,-24400,50000,-31151,0,50000,-35401,1,-50000,0
2019-01-24,0,50000,4213,0,-2016,0,50000,0,50000,14188,-8906,0,0,0,-29415,50000,50000,-14034,-50000,0,-8616,-34691,0,-50000,-19157,-50000,31180,-17948,0
2019-01-25,0,-50000,-14857,0,23465,39297,0,50000,-12070,2422,30158,0,0,10183,-23792,42626,-50000,-33363,30383,0,50000,48946,0,50000,-50000,50000,50000,-50000,33833
2019-01-28,50000,0,9278,0,-23465,0,-9151,50000,-22852,-16610,-23307,0,0,-10183,0,0,0,50000,-34091,2,-25737,50000,0,-22729,0,0,-50000,0,1
2019-01-29,-27581,0,-21298,0,21380,1911,50000,50000,-50000,0,9911,0,0,50000,0,3395,35221,-11443,0,-2,-46278,-43087,29673,-27271,-50000,50000,-3558,3621,-33834
2019-01-30,-2671,0,5173,0,-21380,0,-47130,47744,-15079,0,0,0,0,0,50000,1,-35221,-17753,50000,0,1,50000,50000,0,-6393,-49472,50000,44457,0
2019-01-31,-19748,0,-17926,0,0,-41208,-43719,-197744,0,0,-84352,0,0,-50000,-50000,-192623,0,-23503,-50000,0,-57160,-282061,-79673,0,-47550,-92267,-77623,-94755,0
2019-02-01,0,8512,50000,845,50000,50000,0,0,0,0,22076,50000,50000,0,50000,0,17233,3773,0,23554,0,0,0,13379,45868,20140,50000,46459,12437
2019-02-04,7711,-8512,-11018,-845,-29666,-1749,50000,15564,12591,0,4122,-41761,19567,0,-50000,0,-17233,-3773,50000,44176,50000,0,0,-13379,-45868,50000,9739,-19321,50000
2019-02-05,-7711,47027,-38982,0,50000,-37399,-17355,-15564,-12591,0,19870,-8239,-50000,0,0,0,0,15110,50000,50000,-50000,50000,0,0,45121,50000,17056,29524,-50000
2019-02-06,50000,-22444,0,0,-24231,50000,-23826,50000,37459,0,9605,25281,6720,29034,50000,0,0,-15110,50000,20153,26991,27880,31698,9199,-10193,3517,-16818,49140,1754
2019-02-07,0,0,0,0,0,0,0,0,1,43608,50000,50000,0,-29034,50000,0,0,0,50000,-9248,0,50000,50000,-6639,-34928,0,50000,-17275,-14191
2019-02-08,0,-22735,0,0,0,-50000,-8819,0,0,-43608,-41655,0,-24370,50000,0,38158,50000,0,-50000,-50000,0,-37908,0,-2560,50000,50000,-50000,0,0
2019-02-11,-22777,50000,0,0,-222,-10852,0,0,50000,0,-14500,50000,0,0,-50000,-38158,0,27041,-50000,-32615,50000,50000,-10484,0,0,-29215,0,0,0
2019-02-12,-27223,3,42563,0,-5660,0,0,0,-22679,0,-49518,0,0,0,-29812,0,50000,50000,-27735,-14791,-50000,1,-33650,0,0,-50000,-10347,-50000,0
2019-02-13,35639,0,-42563,0,50000,1,0,0,50000,38834,0,-50000,49740,0,50000,0,-649,39784,-41963,50000,-24658,-5549,-37564,50000,-38707,22203,-29966,-12252,50000
2019-02-14,-35639,-51851,0,0,-90221,-1,0,-50000,-114781,-38834,0,-75281,-51657,-50000,-70188,0,-99351,-116825,-30302,-81229,-2333,-134424,0,-50000,-11293,-116645,-19664,-26275,-50000
2019-02-15,0,29621,0,0,0,16505,11830,41722,0,50000,0,0,50000,0,50000,0,0,0,50000,50000,19385,46970,25966,50000,46759,50000,0,0,50000
2019-02-19,50000,41461,50000,0,0,50000,47326,-41722,0,-50000,11413,0,35137,0,43162,0,0,0,-23212,-50000,-9881,-43653,-25966,50000,38967,23133,0,0,35939
2019-02-20,8389,-38901,-50000,0,0,50000,50000,32974,50000,0,-11413,0,28337,0,33095,0,30135,50000,50000,0,50000,14438,0,-50000,-50000,-23973,0,50000,-19974
2019-02-21,-2006,38644,11925,0,50000,-50000,20053,26720,-45983,12873,17882,38645,-50000,0,-27137,0,8923,3881,-4083,15251,-50000,-17755,0,-1367,-5233,-21438,5172,-37342,-45866
2019-02-22,2,0,-11925,0,50000,0,-40799,50000,-4017,-1588,50000,19246,-34761,0,50000,0,-32572,-45529,0,0,-9504,0,0,45142,50000,50000,-5172,38204,-20099
2019-02-25,-11020,0,0,0,-50000,-24356,50000,6751,0,50000,0,0,49378,0,0,1,-6486,-8352,50000,0,0,0,0,-31354,-9248,-50000,0,50000,1
2019-02-26,-45365,0,0,50000,0,50000,-31378,-31795,0,-50000,-42928,40458,50000,0,50000,-1,0,0,-50000,17908,0,0,0,50000,0,-27722,1,33494,-1
2019-02-27,0,1255,0,-50000,-50000,0,0,-50000,0,-11285,0,0,1,0,50000,0,0,0,0,50000,0,0,0,50000,0,0,-1,0,0
2019-02-28,0,0,0,0,0,0,-50000,26147,0,0,0,-23977,-50000,0,50000,0,0,0,-48604,-50000,0,0,0,0,0,50000,0,-29523,50000
2019-03-01,0,-50000,0,0,50000,-26684,-50000,-28904,46033,50000,50000,-50000,-50000,50000,-50000,0,0,0,-12718,14680,44108,0,0,50000,-4311,-50000,0,3,-50000
2019-03-04,0,-22080,0,0,50000,50000,-7032,-31893,-3170,-22757,0,0,50000,46206,-8273,0,0,0,-3555,0,-22927,0,0,0,0,0,0,-50000,0
2019-03-05,0,0,0,0,0,-41484,0,0,0,-27243,-34323,-24372,-26674,0,0,0,0,0,-7828,0,0,4,0,0,50000,49422,0,0,0
2019-03-06,40250,0,50000,0,33800,-50000,4054,0,-17918,0,-33811,0,0,-45044,50000,0,0,40309,0,-36717,0,-4,0,0,-50000,-49422,0,50000,39673
2019-03-07,-35507,0,11808,0,-2406,0,-4054,0,0,0,-6820,0,-50000,0,-44766,10,0,50000,0,0,-21181,0,0,0,0,0,0,-26524,0
2019-03-08,0,0,0,0,1,-23981,0,0,0,0,0,0,-1418,-7493,-27707,-10,0,-19721,0,-11122,0,0,0,0,22736,0,50000,-20436,50000
2019-03-11,-4743,0,0,0,0,0,0,0,0,0,0,0,0,0,-5535,0,0,-50000,0,1,0,0,0,0,35734,0,0,-15148,0
2019-03-12,0,0,-50000,0,50000,0,0,0,1,0,50000,16123,0,-43669,0,0,0,-20588,0,50000,0,50000,0,0,-11455,50000,0,0,50000
2019-03-13,1,0,0,0,0,0,24745,0,50000,0,-50000,50000,0,0,0,0,0,0,50000,-50000,0,50000,0,0,0,-12063,-49233,-203,50000
2019-03-14,0,0,-11808,0,2,0,0,0,0,0,0,-11437,0,0,0,0,0,0,0,0,0,0,0,0,35367,-37937,-767,-4059,50000
2019-03-15,-1,0,5833,0,0,0,-24745,0,0,1,0,0,0,0,-40279,50000,0,0,50000,0,50000,-33979,0,-16361,-50000,50000,50000,-38466,0
2019-03-18,50000,0,20252,0,50000,0,0,0,0,-1,0,0,0,0,-4145,-50000,0,0,0,50000,0,-50000,0,-44987,0,-50000,-22294,6,0
2019-03-19,1,0,-26085,0,0,0,0,0,0,50000,50000,0,0,32277,0,0,0,0,-9765,0,50000,0,0,-45836,-50000,0,-5779,-6,50000
2019-03-20,0,0,0,0,50000,0,9892,0,-50000,50000,-547,-16859,0,0,-50000,0,0,0,0,-17898,0,0,50000,-50000,-35731,50000,0,50000,0
2019-03-21,-50000,0,0,0,1,0,-9892,0,-13985,50000,0,0,0,1452,-1799,0,50000,0,-50000,-32103,-6104,-16021,-35526,-10203,0,0,-10560,-3455,0
2019-03-22,40696,0,0,0,50000,0,50000,0,0,-50000,-49453,-37827,0,0,-6269,0,50000,0,-7108,5690,50000,0,48874,50000,-13585,-49952,-11367,-46545,50000
2019-03-25,-40697,0,0,0,0,39909,-30084,50000,50000,-15358,0,0,0,0,-23456,0,-1817,0,-2847,0,-16446,0,0,0,0,-48,0,0,-23226
2019-03-26,0,0,0,0,0,0,-19916,-31926,-5284,0,0,0,0,0,0,0,42622,0,-30280,0,0,0,0,-43075,0,0,50000,0,50000
2019-03-27,0,5578,0,0,-50000,0,0,0,-3114,0,0,0,0,-14204,0,0,-30453,0,50000,0,0,1,0,-50000,50000,0,0,0,0
2019-03-28,0,-5578,0,0,50000,0,0,-18074,-32321,-50000,0,50000,0,0,0,5,-33725,0,-37251,-5690,-17076,50000,0,44758,25643,50000,-50000,0,-49490
2019-03-29,0,0,0,0,-17328,0,0,0,-20242,0,0,-30356,50000,36547,0,2,-50000,0,50000,0,-15681,0,-33749,0,50000,-6529,0,0,-50000
2019-04-01,50000,0,0,50000,50000,25122,0,0,0,-34642,0,-4928,-50000,50000,23396,911,-26627,0,-44535,0,-32025,-26642,39802,-46717,115,-25401,0,24579,4751
2019-04-02,-50000,0,0,0,0,0,0,0,0,0,0,-14716,0,0,0,-918,0,0,0,0,50000,50000,50000,43462,-40946,-3994,50000,-12186,0
