account_value,date,daily_return
107037998.65663482,2016-09-30,
106863091.53109884,2016-10-03,-0.0016340657311527673
106377912.22169699,2016-10-04,-0.004540195332648267
106919005.9202409,2016-10-05,0.005086523012561406
106918455.37867872,2016-10-06,-5.149145911209629e-06
106608818.34924874,2016-10-07,-0.0028960110612646917
107147813.18600231,2016-10-10,0.005055818506381371
105802340.49105081,2016-10-11,-0.012557164303632073
106014601.34476599,2016-10-12,0.0020062018735127474
105984857.08027509,2016-10-13,-0.00028056762100314714
105563167.99501741,2016-10-14,-0.003978767315205078
104672994.40125054,2016-10-17,-0.008432615377826469
104181575.16428639,2016-10-18,-0.004694804421858434
104593085.84754884,2016-10-19,0.003949937238072465
104305890.47992377,2016-10-20,-0.002745835112310191
104149431.66583444,2016-10-21,-0.0014999997926238295
104169807.5455684,2016-10-24,0.0001956408153944711
104152459.33718506,2016-10-25,-0.0001665377789602518
104852279.54642805,2016-10-26,0.006719190441556444
104394586.99697028,2016-10-27,-0.004365117777483385
104366863.46421646,2016-10-28,-0.0002655648492064788
103863389.31563039,2016-10-31,-0.004824080477983217
103318713.65168217,2016-11-01,-0.0052441545335383255
102861401.93082862,2016-11-02,-0.004426223524184425
102591927.28561282,2016-11-03,-0.0026197839049190152
102376249.22161753,2016-11-04,-0.0021022907913099687
104288131.93373705,2016-11-07,0.01867506112653916
104888283.84030302,2016-11-08,0.005754747883942146
106565067.73937795,2016-11-09,0.01598637939036074
106405220.1500569,2016-11-10,-0.001499999884689962
106405220.1500569,2016-11-11,0.0
106536528.90908459,2016-11-14,0.0012340443339389218
106680970.96618637,2016-11-15,0.0013557984156311598
106720814.9209697,2016-11-16,0.00037348699043948663
106593475.83914702,2016-11-17,-0.001193198177103283
106468568.18467897,2016-11-18,-0.0011718133167599731
106699510.79044102,2016-11-21,0.002169115352067763
107133108.82892728,2016-11-22,0.004063730332727111
107325809.56574474,2016-11-23,0.0017987038640423503
107772805.61777036,2016-11-25,0.004164851435402461
107744894.32427737,2016-11-28,-0.00025898271213220525
107817370.33212794,2016-11-29,0.000672663037122101
107174003.34040965,2016-11-30,-0.005967192389653153
107260896.70469074,2016-12-01,0.0008107690444771887
107139587.91673492,2016-12-02,-0.0011309693623930972
107843562.53910975,2016-12-05,0.006570630297009661
107665601.3248157,2016-12-06,-0.001650179297716603
108691506.00410973,2016-12-07,0.009528620717019765
108936629.56436037,2016-12-08,0.002255222779242505
109886678.74313782,2016-12-09,0.008721117796435696
110607343.4245606,2016-12-12,0.006558253372161316
111787060.52153063,2016-12-13,0.010665811694271943
111084879.92922229,2016-12-14,-0.006281412079648496
111061174.89108856,2016-12-15,-0.00021339572180145705
111318897.52805,2016-12-16,0.0023205466466043045
110706104.89281099,2016-12-19,-0.005504839239758086
110882014.29216783,2016-12-20,0.0015889765024896807
110558416.11806378,2016-12-21,-0.0029184009342704265
110962194.57633099,2016-12-22,0.0036521729638023803
110621977.03565656,2016-12-23,-0.003066067158940311
110457674.29351684,2016-12-27,-0.001485263114460067
109880707.3448167,2016-12-28,-0.005223421119360028
109833165.13192187,2016-12-29,-0.0004326711580553422
