date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WMT,XOM
2018-07-03,0,-16239,0,0,0,0,0,0,-50000,0,0,0,0,0,0,0,0,0,0,45426,0,-17130,-38291,50000,0,0,0,-31321,-21306
2018-07-05,0,0,0,50000,0,-7460,0,0,-50000,0,0,0,0,0,-50000,50000,0,0,50000,-28279,0,-42952,0,1,15206,0,1,50000,-50000
2018-07-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-40819,-40269,0,0,31192,-11016,50000,-19279
2018-07-09,0,-45613,0,-50000,0,0,0,0,0,0,0,0,0,0,-15348,0,0,0,50000,-17732,50000,0,0,39723,-15206,50000,-1823,0,0
2018-07-10,0,-26442,10023,0,0,0,0,0,0,-34307,0,0,50000,0,-50000,0,0,0,50000,0,50000,0,2,50000,0,-50000,0,-3889,50000
2018-07-11,0,0,-10023,0,0,-50000,0,0,-50000,-13738,0,30222,0,0,-28733,0,0,0,50000,0,0,0,0,0,50000,0,-7108,0,-9106
2018-07-12,0,-11706,0,50000,1,-14641,0,50000,-25479,-8556,0,-30222,-50000,0,50000,-50000,0,50000,-18245,46017,31184,0,0,-47760,-30665,-22715,0,50000,-17647
2018-07-13,0,50000,32845,-41767,1,0,0,-31008,0,-419,0,0,50000,50000,-50000,-1,0,-15865,-28885,-43830,-1384,0,-2,-22871,-13022,0,50000,48332,3
2018-07-16,0,0,-1083,-50000,2,0,0,-18992,0,-25826,0,0,0,0,0,0,50000,15619,50000,0,0,0,0,0,-6313,50000,-50000,-42231,-1860
2018-07-17,0,35244,0,-8233,1,0,0,0,0,0,0,0,-4498,0,0,0,-50000,0,50000,-25478,50000,0,50000,0,0,-12871,0,-16572,0
2018-07-18,0,50000,-31762,0,0,0,32626,0,0,0,50000,50000,0,-50000,0,0,0,50000,50000,0,-38469,0,1,0,0,-50000,0,-50000,-50000
2018-07-19,0,0,0,0,0,0,-32626,0,0,38737,0,0,0,0,0,0,0,0,50000,50000,0,0,0,-50000,0,-50000,0,-7211,0
2018-07-20,0,0,0,0,50000,50000,0,50000,0,-50000,-50000,49972,-30095,0,50000,50000,0,50000,0,-50000,0,1,50000,4202,0,-50000,0,-50000,-13831
2018-07-23,0,0,0,0,-50000,-50000,0,0,0,0,0,0,0,0,-15703,1,50000,-50000,0,32906,-50000,-1,-10989,-45398,50000,0,0,-50000,50000
2018-07-24,0,-25547,0,0,-5,0,0,0,0,0,0,50000,20716,0,-34297,-50000,0,0,-27968,-32906,50000,0,0,50000,0,-11971,50000,0,-50000
2018-07-25,0,-28366,0,0,40555,0,0,-50000,0,-8887,0,-1858,-7209,0,0,50000,0,-50000,-49278,0,-50000,0,0,50000,49102,50000,-42845,-50000,-18734
2018-07-26,0,-39855,0,0,-40555,34795,0,0,0,-17321,0,-32158,-28914,0,4343,50000,-36165,21382,50000,12276,-50000,0,-18088,37591,-15288,7457,-7155,50000,0
2018-07-27,1,0,0,0,0,-2722,0,0,0,0,0,0,0,0,-4343,0,1,-47529,-50000,-12276,-37217,0,0,0,49537,50000,50000,50000,0
2018-07-30,21981,0,0,36199,0,-32073,0,30924,0,0,22834,-29396,0,0,0,1,-13836,-23607,16067,0,23795,0,23805,-18920,-14018,0,28412,-50000,0
2018-07-31,0,0,0,0,0,0,0,-28872,0,0,0,0,0,0,0,0,0,0,-18319,0,-27909,0,0,-34641,41352,0,50000,-50000,0
2018-08-01,32890,50000,0,-36199,0,0,0,0,0,0,-22834,0,50000,50000,0,-24620,0,0,0,0,50000,0,-24205,0,0,-50000,0,1,0
2018-08-02,-7858,-18620,0,0,0,0,17044,-2052,50000,0,0,-50000,0,50000,0,50000,50000,0,-50000,0,50000,0,-28645,0,-13362,-50000,1,-17633,0
2018-08-03,-47014,13376,35413,2335,0,0,19086,50000,-50000,0,0,-36560,-30990,-50000,0,-2650,-50000,0,-25916,0,50000,14167,-41879,-37111,5090,897,-24142,11171,0
2018-08-06,0,0,0,-2335,0,0,0,-50000,0,50000,42954,0,-19010,-41439,0,0,0,50000,50000,0,-1775,-14167,0,-46919,-8493,0,-43272,-11171,0
2018-08-07,4672,-12292,-25481,0,50000,0,0,0,50000,-50000,43626,0,0,50000,0,-25580,0,-2777,-50000,0,0,50000,0,50000,0,0,-27022,0,0
2018-08-08,-4672,0,0,0,-4746,0,-36130,0,917,0,-50000,0,0,0,0,0,0,-7821,-5520,0,0,-13151,0,-3293,50000,-8354,50000,50000,0
2018-08-09,0,0,-6440,0,1,0,0,0,-13692,0,0,0,0,-9588,0,-50000,0,0,-15157,0,0,-19526,24057,-46707,50000,0,-14524,-20630,0
2018-08-10,0,-50000,0,4754,0,0,0,0,-37225,0,-15314,0,0,-48973,0,-19752,0,-39402,0,50000,50000,50000,-4352,0,50000,0,-50000,3,0
2018-08-13,0,-21773,-3492,-4754,-45255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41130,0,0,0,0,0,50000,39105,50000,0
2018-08-14,0,0,0,0,0,0,0,0,0,0,-21266,0,0,0,0,0,0,0,-50000,-8870,50000,1,0,10666,-32954,50000,50000,50000,0
2018-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11102,0,0,0,0,-16376,-26425,-9484,0,12858,0,0,0,0
2018-08-16,2200,0,0,0,0,0,50000,0,0,0,0,0,0,50000,0,-16298,0,0,0,0,0,-7407,-10221,0,0,-50000,1,-50000,0
2018-08-17,0,-2167,0,0,0,0,0,0,0,0,0,0,1,-9465,0,0,0,0,-13649,0,-50000,-33492,21263,-10666,0,50000,-11140,0,0
2018-08-20,0,0,0,0,50000,0,-50000,32518,0,0,0,0,0,50000,0,50000,0,50000,-50000,0,-37675,50000,-21263,0,-23545,-31220,2,0,0
2018-08-21,0,0,19073,0,50000,0,0,0,3,0,0,0,-1,-50000,0,0,0,-50000,0,50000,0,1,0,0,0,-7629,-4317,0,0
2018-08-22,-2200,0,0,0,-19252,0,0,0,0,0,0,0,0,0,0,0,0,0,-50000,0,0,-42675,0,0,40719,-23281,-6897,-50000,0
2018-08-23,0,0,0,0,1,0,0,0,23821,0,50000,0,0,-33517,0,0,0,0,50000,-50000,-18528,-7326,0,0,0,-11541,-15686,0,0
2018-08-24,0,0,-18334,0,-1739,0,50000,13940,0,0,0,0,50000,0,0,2,0,0,0,0,50000,0,0,0,-10937,-26329,43887,-29373,0
2018-08-27,1,0,-739,0,-40960,0,0,0,-23824,0,-29898,0,0,0,0,0,0,0,0,0,0,0,0,0,34423,0,-870,0,0
2018-08-28,0,0,50000,0,-38050,0,-23607,-46458,0,0,0,50000,0,10141,0,1,0,0,50000,0,-50000,0,0,0,-50000,0,-39732,0,0
2018-08-29,0,0,-50000,50000,0,0,50000,0,42607,0,0,-23318,-20618,50000,0,1,50000,0,-50000,0,0,0,0,0,-48052,50000,50000,0,0
2018-08-30,16132,0,0,0,0,0,-37745,0,-41235,0,-7649,-26682,-29382,-19795,0,0,-18493,0,50000,0,50000,50000,50000,50000,-17069,0,50000,1,0
2018-08-31,0,4771,0,0,0,0,0,0,-1372,50000,0,0,0,0,0,50000,-31507,0,-50000,0,0,0,50000,-50000,0,-43619,0,-1,50000
2018-09-04,50000,-4771,0,50000,0,0,0,0,0,0,-12453,0,0,40637,0,-50000,0,0,50000,0,0,-858,50000,0,-40823,-6381,-30488,1,-50000
2018-09-05,0,0,0,-5232,0,0,-38648,0,0,0,0,0,0,0,0,0,0,0,0,45965,0,1,-18272,0,-5266,0,50000,-1,0
2018-09-06,43475,17515,0,-46959,0,0,2112,0,50000,-50000,0,24575,0,20622,0,33750,0,0,-9178,-31044,19989,-17966,26797,0,0,0,50000,50000,0
2018-09-07,0,0,0,-3388,0,0,0,0,-31646,0,0,-24575,0,-50000,1646,-22309,0,0,0,50000,0,0,-50000,0,50000,0,-49037,-31061,0
2018-09-10,-21352,-6794,0,-44421,0,0,-2112,0,-18354,0,0,0,0,-44899,-1646,-45352,0,38788,-34963,0,50000,1,-9921,0,0,50000,50000,0,0
2018-09-11,-42646,0,0,0,530,0,0,0,0,0,0,0,0,-13724,0,0,0,0,-30113,50000,50000,50000,-24135,0,-647,-37857,-23768,-4693,50000
2018-09-12,-45610,1,26089,0,0,0,0,50000,0,0,0,0,0,0,0,50000,0,0,0,-41100,-50000,-8717,-43572,0,0,0,-50000,-14246,0
2018-09-13,1,50000,0,0,0,0,0,0,0,0,5324,0,1,0,0,-37980,0,0,-50000,0,0,0,0,0,-50000,50000,-31205,50000,50000
2018-09-14,50000,-50000,0,0,-530,0,0,-50000,0,0,0,0,-1,48641,0,-28113,50000,-1790,0,-50000,0,-19120,50000,0,50000,-50000,-47677,-50000,-50000
2018-09-17,-38035,0,-26089,0,0,0,0,0,0,0,0,0,0,-48641,0,0,41538,50000,0,-23821,50000,-17955,50000,0,-32285,50000,0,50000,-15314
2018-09-18,50000,-10722,0,50000,50000,0,0,0,0,0,0,0,0,0,0,0,-50000,-50000,26542,50000,50000,0,0,0,-50000,50000,0,1,-34686
2018-09-19,1,0,0,0,0,0,0,0,20207,50000,0,0,0,0,0,0,-41538,-36998,50000,0,-19936,0,-20430,0,0,0,-46441,50000,0
2018-09-20,-2408,0,0,-20663,-50000,0,0,0,1,-18215,0,50000,0,0,0,0,0,0,-15553,-50000,50000,-35386,40006,0,-2077,50000,-45190,-45358,0
2018-09-21,-50000,41867,0,0,50000,0,1891,0,-20208,-31785,-5324,50000,0,0,0,50000,0,0,-45823,0,43036,50000,0,0,-26548,0,1,50000,0
2018-09-24,-9559,-41867,0,-15196,0,0,1,0,0,0,0,-32247,0,0,0,0,0,0,-5774,0,0,-50000,-8458,0,3537,50000,-1,50000,50000
2018-09-25,0,0,0,-14141,-10088,43014,0,0,0,0,0,0,0,0,0,0,0,0,-37256,0,0,0,50000,50000,-44726,0,50000,0,0
