date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WMT,XOM
2019-07-05,0,0,0,0,30814,-26081,-10285,0,-11329,-22403,0,0,0,-4655,-50000,0,0,50000,0,50000,0,0,0,-6081,-50000,50000,50000,50000,-12847
2019-07-08,0,0,0,50000,0,-50000,-24188,9889,-38671,-27597,0,0,50000,0,0,0,0,50000,-2504,0,0,50000,-34119,50000,-27303,0,50000,-21559,-32714
2019-07-09,0,0,0,-14514,1,-3561,0,0,0,0,0,0,-50000,0,-50000,0,0,0,0,31725,0,-11427,-34518,0,0,50000,-136,1,0
2019-07-10,0,0,0,0,0,0,-13649,0,0,0,0,0,0,0,-32787,0,0,0,-6704,0,0,-38573,-20662,0,0,34662,0,50000,0
2019-07-11,0,0,0,-2784,2,0,0,0,0,0,0,0,0,0,-44620,0,0,0,0,0,0,0,0,0,0,16719,0,50000,0
2019-07-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-16,0,0,0,0,-13512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18595,0
2019-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1083,1293,0
2019-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
