account_value,date,daily_return
127672249.21622942,2018-10-02,
127139527.42756893,2018-10-03,-0.004172573068390584
125532214.73663592,2018-10-04,-0.012642116291085692
124932362.82840209,2018-10-05,-0.004778469889122228
124860723.95765874,2018-10-08,-0.0005734212426746765
124922006.78310381,2018-10-09,0.0004908094675619701
119931822.25419967,2018-10-10,-0.03994640061753385
117726482.73826186,2018-10-11,-0.018388276559856753
119469332.43986253,2018-10-12,0.014804228080741222
118601797.84707758,2018-10-15,-0.007261567258037949
121102809.1055071,2018-10-16,0.02108746497801217
121070063.35148121,2018-10-17,-0.0002703963208431359
119495002.58282492,2018-10-18,-0.013009498178618295
119730257.43063484,2018-10-19,0.0019687421459058108
119550662.09912367,2018-10-22,-0.001499999543684405
119384480.79372913,2018-10-23,-0.0013900492266346598
116823728.7923507,2018-10-24,-0.02144962213139634
118982939.60765384,2018-10-25,0.018482639080465102
117146031.72651263,2018-10-26,-0.01543841400454904
115250447.25174198,2018-10-29,-0.016181380169974946
115691731.38104554,2018-10-30,0.003828914679520956
117118694.21002688,2018-10-31,0.012334181638975261
118050828.11952771,2018-11-01,0.007958882361079445
118033094.31330737,2018-11-02,-0.00015022178584278567
119105895.85637532,2018-11-05,0.009088989400043213
119930184.42608312,2018-11-06,0.0069206361597897725
123283472.84886989,2018-11-07,0.0279603374149191
123688265.51410092,2018-11-08,0.0032834300971327224
122798600.91539282,2018-11-09,-0.007192797109817017
120464338.63654202,2018-11-12,-0.01900886705101046
119853768.47543438,2018-11-13,-0.005068472279998293
118568851.95358363,2018-11-14,-0.010720701886934081
119006582.07730114,2018-11-15,0.0036917800628522013
120518432.26433355,2018-11-16,0.012703920746588437
118090154.19841681,2018-11-19,-0.020148603166283974
115937086.8401676,2018-11-20,-0.01823240364841594
115751227.18686254,2018-11-21,-0.0016031078438367707
115659880.58075319,2018-11-23,-0.0007891631763168316
117525486.63849159,2018-11-26,0.016130105343104217
118982465.43215366,2018-11-27,0.012397130489182562
122837786.66040573,2018-11-28,0.032402431856233926
122735103.55671522,2018-11-29,-0.000835924404714139
123562926.62584282,2018-11-30,0.006744794644223839
124638461.17815737,2018-12-03,0.008704346697544274
121304245.52002077,2018-12-04,-0.026751097747995334
120899281.73740795,2018-12-06,-0.0033384139267077506
118081366.44521224,2018-12-07,-0.023307957265752743
118104456.94644755,2018-12-10,0.00019554737491978003
118159120.22282237,2018-12-11,0.00046283838720495574
118967838.15729441,2018-12-12,0.006844312423340382
119291079.11410603,2018-12-13,0.0027170448906050915
116657792.62688649,2018-12-14,-0.022074462791142224
116482805.98329267,2018-12-17,-0.001499999611285996
116520862.27303012,2018-12-18,0.0003267116499829914
115589025.27799974,2018-12-19,-0.007997168720283776
113361591.49227895,2018-12-20,-0.019270287818100917
111865695.03763673,2018-12-21,-0.013195796168264828
108575350.24865729,2018-12-24,-0.029413349533763844
113499553.16440155,2018-12-26,0.0453528623621009
114603940.48913825,2018-12-27,0.009730323106532657
114489253.91113526,2018-12-28,-0.001000721070440469
115742398.40263258,2018-12-31,0.010945520637858142
114420006.25921379,2019-01-02,-0.01142530448365675
