date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WMT,XOM
2018-10-02,0,0,-50000,0,0,0,-21478,-7094,0,0,0,-19248,0,28250,0,2,0,50000,0,0,-45531,0,0,50000,50000,0,-38916,0,0
2018-10-03,0,0,-825,0,0,0,0,-42906,0,0,0,0,1,-28250,0,-2,0,-3854,29642,50000,0,0,0,0,0,0,50000,0,0
2018-10-04,0,0,0,0,0,0,0,50000,1,31765,0,0,0,0,0,0,0,50000,-50000,0,-50000,50000,0,50000,-50000,-29194,-50000,-50000,0
2018-10-05,0,0,0,0,0,33039,0,0,1,0,0,0,-1,0,0,0,0,-50000,-17906,-1332,50000,0,0,0,-528,0,0,50000,0
2018-10-08,0,13087,0,0,0,0,0,50000,1,0,0,50000,0,0,50000,0,0,-6300,-29048,-8741,-26846,0,-42560,-50000,0,-32050,0,50000,0
2018-10-09,0,-13087,0,31076,0,-9801,0,50000,0,0,0,0,0,0,0,1,0,0,50000,0,-22822,-50000,-50000,0,0,-15516,0,-50000,0
2018-10-10,0,0,0,-31076,1,-23238,0,-1404,0,0,0,-21342,0,0,-50000,-1,0,-19381,-5486,0,0,0,-28968,21485,50000,0,50000,50000,0
2018-10-11,0,0,0,0,-1,0,0,0,0,0,0,-28658,0,0,0,0,0,0,-14623,-3550,35503,0,0,-13748,0,0,0,1,50000
2018-10-12,50000,0,0,0,50000,0,1,-50000,49377,-31765,0,0,44249,6359,0,50000,42831,-33522,-50000,50000,0,0,50000,0,-26553,0,50000,-16246,-50000
2018-10-15,-21788,0,0,44421,-50000,8648,26990,50000,-33761,31130,34806,17528,-44249,-6359,0,11775,-23732,1104,-50000,-50000,-50000,0,-50000,-38749,-23447,22540,-42085,41870,0
2018-10-16,0,0,0,-44421,50000,0,-26991,50000,0,-28207,0,-17528,16633,0,0,50000,-6117,-38047,50000,50000,50000,0,-27460,0,0,50000,0,-40496,0
2018-10-17,0,0,0,0,0,-8648,0,0,10303,0,-34806,50000,0,0,0,0,0,0,-10403,0,0,0,-30608,50000,0,0,-50000,0,0
2018-10-18,0,0,0,0,-22042,0,0,-49184,-25922,-2923,0,0,-16633,0,0,0,-2761,0,0,2,-3996,0,0,0,46004,0,0,-50000,0
2018-10-19,-28212,0,0,0,-27958,0,0,-149412,0,0,0,-50000,0,0,0,-111775,-10221,0,-78572,-136379,-305044,0,0,-147232,-46004,-158413,-7915,-68721,0
2018-10-22,0,0,12603,44412,0,0,0,0,50000,0,0,50000,50000,0,0,5815,50000,0,18542,50000,50000,846,35117,0,0,13007,0,0,50000
2018-10-23,0,0,-12603,-22036,0,0,35399,0,50000,0,27691,50000,47039,0,50000,-1256,50000,0,31461,50000,50000,541,-35117,0,50000,50000,13674,0,-16991
2018-10-24,0,0,0,-22376,0,50000,49616,0,0,20450,-27691,0,0,0,-37314,50000,0,0,-33379,50000,0,1,0,0,50000,50000,50000,0,50000
2018-10-25,0,0,49522,0,0,-6977,-7884,0,0,-20450,0,3,-48417,0,-12686,-2696,0,0,-16624,-40052,-42413,0,0,50000,-50000,50000,-44755,0,0
2018-10-26,0,0,-49522,19664,0,-42709,50000,0,-25674,0,0,50000,50000,0,0,0,0,0,0,50000,50000,-1388,0,-25170,0,50000,0,0,-30450
2018-10-29,1,0,0,-19664,0,-314,0,0,0,0,0,-47948,1,0,0,-80,0,23671,0,-32177,0,0,50000,50000,0,0,0,0,-50000
2018-10-30,1620,50000,0,23936,32903,0,18087,0,50000,969,0,-50000,24908,3972,49974,-42080,10762,-19188,0,50000,35322,1571,-50000,-25061,-50000,-44913,50000,0,23729
2018-10-31,0,-50000,0,0,0,0,0,0,-18660,18313,0,0,-2443,-3972,-27986,2,50000,0,0,0,0,-1571,50000,50000,0,-50000,-50000,0,-26288
2018-11-01,0,0,0,50000,-32903,50000,0,0,-26251,0,0,-20001,0,0,0,50000,-50000,-4414,0,-11618,-50000,0,0,0,0,0,19936,50000,50000
2018-11-02,0,0,0,-50000,0,0,0,0,1,0,0,0,-12623,0,-21988,-50000,0,0,0,-50000,0,0,-14134,0,50000,15337,50000,0,0
2018-11-05,-1621,0,0,-23936,0,0,0,0,0,0,0,0,-50000,0,0,-9705,1,0,0,-50000,0,0,0,0,43583,0,-13839,50000,-19907
