account_rewards,date
722902.0394286662,2018-07-03
509992.72687366605,2018-07-05
2037848.1942391247,2018-07-06
436587.0638945997,2018-07-09
-871537.1298190355,2018-07-10
990635.79412283,2018-07-11
423104.07858359814,2018-07-12
78098.42057873309,2018-07-13
471705.2805312276,2018-07-16
425199.6837732196,2018-07-17
-916487.6677215397,2018-07-18
142897.28907833993,2018-07-19
-295341.6552348286,2018-07-20
564629.8670108467,2018-07-23
1180546.4737176,2018-07-24
351332.10048891604,2018-07-25
-384507.8030580729,2018-07-26
-252059.53143790364,2018-07-27
362172.970765084,2018-07-30
-336429.38949134946,2018-07-31
415150.8703261912,2018-08-01
812621.8686669171,2018-08-02
162593.83786654472,2018-08-03
726814.9274335951,2018-08-06
79861.32966420054,2018-08-07
271787.28242236376,2018-08-08
-673147.0519145876,2018-08-09
66486.33788233995,2018-08-10
644234.788380146,2018-08-13
-644560.1232538223,2018-08-14
1617607.957149759,2018-08-15
-32027.279657021165,2018-08-16
698818.3868822604,2018-08-17
-476728.603806749,2018-08-20
-373275.9248688072,2018-08-21
201186.71576966345,2018-08-22
849439.6736270189,2018-08-23
923527.8520532846,2018-08-24
291667.86956457794,2018-08-27
136448.96054793894,2018-08-28
-785906.5485788882,2018-08-29
68105.78565169871,2018-08-30
-780320.0932373405,2018-08-31
557246.012483269,2018-09-04
628042.4755306393,2018-09-05
-405938.7078150064,2018-09-06
-1206905.3794783205,2018-09-07
573655.7109921426,2018-09-10
528024.8250605464,2018-09-11
1025556.4151825309,2018-09-12
-11654.267314225435,2018-09-13
-548647.6185850203,2018-09-14
537209.7272885293,2018-09-17
-116361.4403051585,2018-09-18
1186811.6276523173,2018-09-19
188886.07994784415,2018-09-20
-1139436.6978349239,2018-09-21
-295250.82763917744,2018-09-24
-611348.1150430292,2018-09-25
434275.045656085,2018-09-26
157624.92605386674,2018-09-27
707127.0300964415,2018-09-28
