date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WMT,XOM
2017-10-02,-50000,0,0,-9948,0,0,0,0,0,-3191,0,0,2,0,0,-761,-50000,15796,0,0,0,0,0,-50000,50000,50000,-22345,0,0
2017-10-03,2,0,0,41732,0,50000,41032,0,50000,0,0,0,0,-38212,-26733,42073,-32236,846,41033,50000,0,50000,50000,-50000,-50000,-50000,-9718,1,0
2017-10-04,-1347,0,0,-21315,0,0,0,0,0,0,0,0,-18827,-16942,0,0,0,0,-2005,-4910,-15507,-50000,-40390,0,47379,0,50000,1,0
2017-10-05,-14543,0,0,0,0,0,-30904,0,0,0,0,0,-13534,0,-38275,0,0,0,0,0,28936,0,0,50000,0,0,0,0,0
2017-10-06,0,0,6020,0,0,1,-10128,0,-50000,0,0,0,0,1,-10291,-15566,0,-19506,0,0,0,50000,0,-19321,50000,0,-9177,50000,0
2017-10-09,29873,0,13219,-50000,0,50000,0,50000,0,0,50000,0,1,0,50000,50000,-47387,-50000,-38167,-50000,-28936,-50000,-9610,26512,-47216,43244,35049,50000,0
2017-10-10,-29873,50000,0,34935,0,50000,45167,0,0,0,-50000,50000,-1,-1,0,2,-50000,-46735,-17020,0,50000,1,0,-50000,0,48193,0,-50000,0
2017-10-11,31029,-30317,-10843,-50000,38320,48345,-17139,-50000,0,0,0,-46873,0,0,26493,-29311,44010,-401,50000,-7492,33689,35901,14728,-15317,-24899,-31624,50000,-13089,24052
2017-10-12,-31029,-3280,-8396,-3204,-5562,-30133,50000,0,0,0,0,50000,50000,0,-48374,50000,-18528,0,-9474,-7876,0,-50000,50000,0,50000,-17477,-4186,41186,0
2017-10-13,0,0,0,0,-32758,0,-24468,0,0,0,0,-35396,-50000,0,0,28677,-23486,0,0,0,0,0,0,50000,50000,-50000,50000,50000,-24052
2017-10-16,0,-16403,0,0,0,-2875,0,0,0,0,0,-17731,0,0,0,-50000,50000,50000,-20585,30059,0,-35902,-50000,0,0,-50000,1,1,0
2017-10-17,0,0,0,0,1,0,-50000,0,0,0,0,0,0,43503,-7275,0,0,50000,0,0,50000,50000,-14728,0,-50000,0,-50000,50000,0
2017-10-18,0,0,0,0,-1,-165338,-3560,0,0,0,0,0,0,-43503,-22133,-96867,-111774,-100000,-34179,-30059,-133689,-50000,0,-192952,-75264,-25031,-315725,-178100,0
