account_rewards,date
-669430.0806986243,2019-07-05
-724831.9949076325,2019-07-08
494505.4781810045,2019-07-09
731185.1148308367,2019-07-10
1019996.473957777,2019-07-11
252359.96508789062,2019-07-12
-100564.05031204224,2019-07-15
-881522.269857809,2019-07-16
43009.296394348145,2019-07-17
-648109.6150360107,2019-07-18
539503.0847816467,2019-07-19
383691.2238998413,2019-07-22
834774.2651176453,2019-07-23
-422026.06648254395,2019-07-24
184059.11237759888,2019-07-25
266047.66177749634,2019-07-26
-595219.6822509766,2019-07-29
-2136396.4899101257,2019-07-30
-63959.88613128662,2019-07-31
-934573.2167434692,2019-08-01
-3740049.761318207,2019-08-02
1294962.0732192993,2019-08-05
450964.03927612305,2019-08-06
1752604.8571510315,2019-08-07
-477147.87072227895,2019-08-08
-1532539.1407356262,2019-08-09
1775396.7347373962,2019-08-12
-3342104.0675916374,2019-08-13
676091.0661069155,2019-08-14
-166046.17836858332,2019-08-15
361118.2680388391,2019-08-16
-1101557.0098378956,2019-08-19
1148249.7418817878,2019-08-20
1060567.739570722,2019-08-21
-2017026.141074121,2019-08-22
1182423.1072473824,2019-08-23
-121306.8297355324,2019-08-26
931473.7592859417,2019-08-27
1349527.0257225037,2019-08-28
164951.21154665947,2019-08-29
-1341733.9419345707,2019-08-30
1221074.5057225972,2019-09-03
1644097.0398287028,2019-09-04
301864.3825996816,2019-09-05
-790018.5671386719,2019-09-06
-1280301.7223854065,2019-09-09
-308921.60444132984,2019-09-10
1415675.1574763209,2019-09-11
62400.22926269472,2019-09-12
-1075974.1119623184,2019-09-13
62566.19170379639,2019-09-16
-376508.2630004883,2019-09-17
-182585.92902089655,2019-09-18
-847198.5325870514,2019-09-19
369895.07904239,2019-09-20
-465723.305267334,2019-09-23
322768.5994338989,2019-09-24
-55603.30576324463,2019-09-25
-653259.2262977511,2019-09-26
-688707.615776062,2019-09-27
-75639.40116119385,2019-09-30
-2265139.030256897,2019-10-01
