account_rewards,date
38274.41171374917,2020-01-03
-638457.744287923,2020-01-06
1252612.672618717,2020-01-07
657391.1883155853,2020-01-08
-310227.6333015114,2020-01-09
-505022.6785071045,2020-01-10
98052.43768653274,2020-01-13
918798.1166296303,2020-01-14
820970.254156515,2020-01-15
192338.51226456463,2020-01-16
51307.140817165375,2020-01-17
-58792.00449593365,2020-01-21
-114935.30456748605,2020-01-22
-1187032.2256051153,2020-01-23
-2095835.047834143,2020-01-24
288031.9039377421,2020-01-27
413292.994920522,2020-01-28
1584147.0997925252,2020-01-29
-3494738.0474693775,2020-01-30
708514.665459469,2020-01-31
1668821.996884942,2020-02-03
1029878.0354199558,2020-02-04
125606.45742675662,2020-02-05
-731247.0538686216,2020-02-06
775403.9249683172,2020-02-07
200388.3179218024,2020-02-10
2055033.9119894505,2020-02-11
-191730.56738454103,2020-02-12
386130.48135097325,2020-02-13
-589352.8563213348,2020-02-14
357297.8502804041,2020-02-18
-667179.3859219849,2020-02-19
-1292703.2817677855,2020-02-20
-5264659.875590384,2020-02-21
-4413350.651947677,2020-02-24
-938714.982354179,2020-02-25
-4850121.028297275,2020-02-26
-271025.6583234966,2020-02-27
-154461.74916876853,2020-02-28
-1728625.0815695673,2020-03-02
5040167.992258742,2020-03-03
-3314398.889716655,2020-03-04
-1645602.9410448074,2020-03-05
-7745747.918763772,2020-03-06
-140138.72625558078,2020-03-09
-3063501.4383141994,2020-03-10
-82328.44235397875,2020-03-11
0.0,2020-03-12
0.0,2020-03-13
0.0,2020-03-16
0.0,2020-03-17
0.0,2020-03-18
0.0,2020-03-19
0.0,2020-03-20
0.0,2020-03-23
0.0,2020-03-24
0.0,2020-03-25
0.0,2020-03-26
2411880.8108348995,2020-03-27
-1538976.4003913403,2020-03-30
-4606246.24556157,2020-03-31
1116118.629065156,2020-04-01
