date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WMT,XOM
2015-12-31,0,4473,13954,50000,12442,0,10335,47741,46715,0,44819,39271,26821,0,0,22955,26115,20901,20536,0,39484,0,48826,50000,0,9731,0,0,50000
2016-01-04,717,1131,-7261,-50000,-12442,50000,-10335,5632,-46715,0,50000,50000,-3503,34984,27711,-22955,37701,50000,-20536,0,28774,0,50000,-5433,0,50000,50000,0,19832
2016-01-05,50000,-5604,-6693,28557,50000,50000,47561,21394,0,50000,-50000,-17878,-23318,22144,-609,0,-39033,10801,0,0,50000,0,-43733,50000,0,-22609,-50000,20872,-50000
2016-01-06,50000,50000,0,2401,50000,-17082,14507,17843,38162,-50000,-44819,-2622,0,50000,-27102,50000,-24783,-30557,0,0,6986,0,50000,21921,0,50000,0,40532,-19832
2016-01-07,47978,-50000,37520,-16915,-17416,-50000,43562,17564,27014,0,0,6233,0,50000,0,-7570,0,-17493,0,19267,42097,0,-24076,-20178,5840,50000,0,-47579,0
2016-01-08,-26166,41179,50000,-6025,-46621,-32918,-30437,25228,12947,0,50000,-40393,0,13946,40240,38740,50000,-33652,0,-19267,-50000,0,-50000,-50000,-5840,-35039,17032,50000,0
2016-01-11,50000,-41179,21536,-8018,18121,50000,-46029,-50000,-10001,0,-30861,-34611,50000,-28700,50000,35580,-18241,50000,18036,12680,-8981,0,50000,-19603,50000,-22687,-17032,50000,50000
2016-01-12,31558,0,50000,0,-23067,-50000,46569,20146,-35638,10429,-19139,0,-6632,17259,-50000,50000,17577,-3470,-18036,50000,22839,23421,-35080,-26707,4966,-50000,0,-50000,-50000
2016-01-13,19685,50000,-50000,0,33279,50000,18256,-50000,34336,-10429,0,44845,-43368,7855,50000,-19352,-11946,0,32085,-11942,-50000,-23421,-35406,0,50000,-16971,0,1,0
2016-01-14,20602,-22471,-50000,28756,-6056,50000,22263,-34772,13933,6037,0,-44845,2994,40099,-30524,-26457,12885,-2593,-32085,-19459,-18472,50000,-10531,0,-16061,-12425,0,50000,546
2016-01-15,29511,17774,-6919,-3751,2,-5312,1402,15365,0,-6037,0,0,29719,31684,50000,-46934,-9284,50000,22293,-31279,31740,-1566,0,0,-37902,0,0,-11370,50000
2016-01-19,-17200,0,-8323,-4119,1,0,6563,-11065,0,0,0,0,-12140,0,-50000,-14591,-6728,-33858,-12516,0,50000,-17746,0,50000,0,50000,0,-50000,0
2016-01-20,50000,-26011,23119,-10138,-50000,20017,-50000,-390,-14869,3528,0,0,22512,-28936,-50000,-14363,17234,12837,50000,23640,-31732,-18287,0,3878,-50000,-26182,0,-47612,14598
2016-01-21,-26997,-19292,-50000,-10748,50000,0,-50000,-24686,50000,-3528,0,39194,42514,19761,-6397,-8568,0,40517,50000,-11980,50000,-12401,0,50000,0,-23818,0,0,0
2016-01-22,-279688,0,-16933,0,-58243,-114705,-24217,0,-115884,0,0,-39194,-85599,-230096,-3319,-36485,-51497,-113433,-109777,-11660,-162735,0,0,-103878,-1003,0,0,-4844,-65144
2016-01-25,50000,0,0,0,0,50000,0,0,0,0,49993,0,0,50000,15738,0,41930,0,0,0,0,0,50000,48976,23456,32718,50000,0,0
2016-01-26,-16672,50000,0,27953,29237,15596,23977,0,0,23715,14496,0,0,50000,-15738,0,8219,0,4846,29917,50000,0,31293,-48976,-23456,50000,-6295,0,0
2016-01-27,19708,-43148,0,-27953,50000,40211,21696,36864,0,-23715,-50000,50000,0,50000,6542,0,50000,0,50000,2243,50000,2897,-30621,0,50000,12269,-11601,10086,0
2016-01-28,-50000,-6852,50000,50000,-19007,47511,9446,-36864,16190,25525,-14489,8761,15465,50000,-6542,50000,50000,0,-43909,-324,29258,-2897,38417,24771,-50000,50000,50000,-3023,23870
2016-01-29,-3036,0,-46726,50000,1,0,0,0,-16190,-25525,0,-7841,-14251,0,0,0,0,0,-10937,-13138,0,50000,-6043,50000,50000,-18073,47638,48687,27195
2016-02-01,0,0,50000,50000,-50000,-11358,45013,0,0,0,41642,-20539,-1214,-714,42910,-23750,-24337,0,42325,0,-9644,38787,-50000,-50000,-50000,0,50000,-27404,-5028
2016-02-02,50000,8326,-35042,-50000,-10231,-50000,43553,0,0,0,35309,-7948,0,-24654,-35508,34582,11494,0,1,-271,14513,-26004,17310,-3340,0,26851,-50000,-10908,50000
2016-02-03,1,-8326,0,-32018,0,0,50000,0,0,0,0,0,2,25621,-7402,0,-27834,0,0,0,-20393,0,0,50000,0,-50000,50000,-17438,-14179
2016-02-04,0,50000,-7921,-14910,0,-40795,50000,0,0,50000,-50000,-22433,50000,-21319,0,0,50000,0,0,0,33982,0,-50000,-50000,0,50000,-32224,0,-38690
2016-02-05,-30184,0,0,-44136,0,-50000,50000,0,0,-22046,-16802,22419,0,-16329,0,0,0,0,50000,-11198,0,-22187,0,0,0,50000,0,1,50000
