,0
Annual return,0.37972499661560133
Cumulative returns,0.08379747065662091
Annual volatility,338567.94756385626
Sharpe ratio,2.0172109659996025
Calmar ratio,0.3797250630804797
Stability,0.32415235284977784
Max drawdown,-0.9999998249657849
Omega ratio,22751.286315385853
Sortino ratio,155782.34525220725
Skew,
Kurtosis,
Tail ratio,9.187028209293839
Daily value at risk,-39945.381417684344
