account_rewards,date
-155558.272544384,2017-07-03
-920896.3257445097,2017-07-05
597178.6445185393,2017-07-06
84126.33133591712,2017-07-07
-223417.89468954504,2017-07-10
637327.1901028156,2017-07-11
-60524.747684434056,2017-07-12
634694.301844582,2017-07-13
-166547.62848553061,2017-07-14
-322626.5234363973,2017-07-17
823593.5583490133,2017-07-18
355006.5735281259,2017-07-19
115538.85474717617,2017-07-20
-184511.77795532346,2017-07-21
459913.02637052536,2017-07-24
-170660.0757932812,2017-07-25
0.0,2017-07-26
445.84371365606785,2017-07-27
-67908.17847578228,2017-07-28
153915.24084958434,2017-07-31
60907.89217361808,2017-08-01
-153975.02508091927,2017-08-02
-202197.83535023034,2017-08-03
-98073.83457452059,2017-08-04
-122165.84739851952,2017-08-07
-223936.2078911364,2017-08-08
-477763.3573540896,2017-08-09
386781.67470629513,2017-08-10
526567.0405460149,2017-08-11
131257.72457279265,2017-08-14
49686.12438087165,2017-08-15
-1220325.6709911823,2017-08-16
-356485.6626533866,2017-08-17
228020.4123146385,2017-08-18
1040040.5570896119,2017-08-21
-581868.8095145077,2017-08-22
-44009.1065518111,2017-08-23
120009.82865086198,2017-08-24
-7148.416786044836,2017-08-25
-84484.7631123215,2017-08-28
234699.03921224177,2017-08-29
303866.80616511405,2017-08-30
329689.2568717152,2017-08-31
-1760421.4334004968,2017-09-01
766706.2970269024,2017-09-05
-716058.7523540705,2017-09-06
415988.48627620935,2017-09-07
1437496.1341493875,2017-09-08
-224168.11264194548,2017-09-11
124335.651277408,2017-09-12
-84339.84979313612,2017-09-13
145148.5934535116,2017-09-14
36177.665041178465,2017-09-15
352949.6497410983,2017-09-18
487897.54480336607,2017-09-19
-381295.1437396854,2017-09-20
165677.43498803675,2017-09-21
-640404.3548877984,2017-09-22
-346354.2373178601,2017-09-25
-99996.21717754006,2017-09-26
617473.2906185836,2017-09-27
-158841.7967326939,2017-09-28
