date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WMT,XOM
2016-07-01,0,0,0,24859,0,0,0,-29096,0,0,0,0,0,0,-210,0,0,0,0,0,0,-40764,0,0,-22561,0,50000,-2600,50000
2016-07-05,0,0,0,-4342,0,0,0,0,45365,0,0,0,0,0,0,2,0,0,0,0,0,-50000,0,0,-42005,0,50000,-48682,-5007
2016-07-06,3,0,0,50000,0,10052,0,0,0,0,0,0,0,-12231,0,-2,0,0,0,0,50000,-50000,0,50000,-50000,0,-45031,-46015,0
2016-07-07,1,0,0,0,0,0,1,-34615,-10628,0,0,0,0,0,0,0,0,50000,0,0,-37569,50000,0,4023,-35906,0,50000,-41129,50000
2016-07-08,-4,0,0,-50000,0,0,0,9639,-34737,0,0,0,0,50000,0,0,0,-34864,0,0,0,50000,50000,50000,-50000,0,-809,-14085,50000
2016-07-11,0,0,0,0,0,0,50000,0,0,0,28122,0,0,0,0,0,0,-15136,0,0,-12431,-50000,-50000,50000,-50000,0,1,-50000,50000
2016-07-12,1,0,0,0,0,0,50000,50000,0,22222,-28122,0,0,-35217,0,0,50000,0,0,0,0,-50000,0,-3449,-50000,0,50000,-50000,-34673
2016-07-13,-1,0,0,0,0,50000,19609,0,0,0,0,0,0,50000,0,50000,-38547,0,0,0,0,-50000,0,-37696,-50000,50000,50000,-50000,-14362
2016-07-14,0,0,35135,1,0,-50000,0,-50000,0,-2378,0,0,0,0,0,0,-11453,0,0,50000,0,-50000,50000,0,-2230,-20154,0,-21011,50000
2016-07-15,0,0,-35135,-1334,0,0,28598,0,0,-12840,0,0,0,-31078,0,-13577,0,0,0,-10347,0,-49273,-45651,50000,0,50000,50000,-50000,50000
2016-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-43314,0,-36218,0,0,0,50000,0,0,0,23977,0,0,50000,-50000,-862
2016-07-19,0,0,0,0,0,-10052,0,0,0,-7004,0,0,0,0,0,0,0,848,0,50000,0,0,-4349,1,0,-16716,50000,-50000,0
2016-07-20,0,0,0,0,0,0,0,-18211,0,0,0,0,0,-47819,0,0,0,0,0,0,43650,0,0,0,0,50000,-50000,-50000,50000
2016-07-21,0,0,0,0,0,0,0,-32601,0,0,0,0,0,0,0,0,0,0,0,6589,0,0,0,0,0,50000,0,-50000,0
2016-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,-50000,0,-205,0,23561,0,50000,0,0,0,0,0,50000,-18106,-11919,-50000
2016-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-8021,2709
2016-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3980,-50000,19261
2016-07-27,0,0,0,0,0,0,0,-674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15263,1,-34558,31238
2016-07-28,0,0,0,0,0,0,0,-23808,0,0,0,0,0,-50000,0,0,0,0,18132,50000,0,0,0,0,0,50000,-762,0,0
2016-07-29,1,0,0,0,0,0,0,0,0,0,0,0,0,-7302,0,0,0,0,-18132,0,0,0,0,0,0,0,-29567,0,42431
2016-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23425,-50000,0,0
2016-08-02,2,0,0,0,0,0,0,-23428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36097,-16735,0,0
2016-08-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-04,0,0,0,-28764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9200,-50000,0,50000
2016-08-05,-3,0,0,-7678,0,0,-148208,-28037,0,0,0,0,0,0,0,0,0,-24409,0,-246242,-43651,0,0,-186856,0,-316589,-306644,0,-425101
2016-08-08,0,50000,0,26396,0,0,50000,50000,0,50000,0,50000,0,0,0,7329,49764,50000,0,45051,50000,0,28498,8735,0,249,50000,30610,0
2016-08-09,0,-23168,0,-26396,0,50000,50000,3442,0,10786,0,-29826,49989,27690,0,50000,35282,39608,362,50000,50000,0,50000,50000,0,-249,50000,-6366,0
2016-08-10,0,-26832,0,0,886,-40999,50000,45973,13735,42748,50000,37106,-18236,-2941,0,-33584,-10186,50000,-362,50000,50000,0,-50000,17601,0,35703,25451,50000,0
2016-08-11,0,0,0,0,-886,0,0,0,-5477,41905,-50000,-32590,0,-5215,0,2,-18716,-19207,0,50000,0,0,50000,50000,0,0,-13956,-42329,0
2016-08-12,0,0,0,0,0,0,1,2280,-7632,-50000,0,0,-21120,-19534,0,0,-50000,50000,0,50000,-50000,0,0,50000,0,50000,-50000,-31915,50000
